"","sgScr-g1-R1-input","sgScr-g1-R2-input","sgScr-g2-R1-input","sgScr-g2-R2-input","sgScr-g1-R1-polysome","sgScr-g1-R2-polysome","sgScr-g2-R1-polysome","sgScr-g2-R2-polysome","sgScr-g2-R2repeat-polysome","sgCtu1-g1-R1-input","sgCtu1-g1-R2-input","sgCtu1-g2-R1-input","sgCtu1-g2-R2-input","sgCtu1-g1-R1-polysome","sgCtu1-g1-R2-polysome","sgCtu1-g2-R1-polysome","sgCtu1-g2-R2-polysome","sgCtu2-g1-R1-input","sgCtu2-g1-R2-input","sgCtu2-g2-R1-input","sgCtu2-g2-R2-input","sgCtu2-g1-R1-polysome","sgCtu2-g1-R2-polysome","sgCtu2-g2-R1-polysome","sgCtu2-g2-R2-polysome"
"Xkr4",10,19,23,9,1,13,4,11,3,14,9,31,18,15,19,4,14,23,43,12,10,8,15,1,6
"Gm1992",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0
"Gm19938",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm37381",2,3,3,0,0,2,1,2,1,2,0,4,5,2,0,1,2,4,1,3,4,1,3,0,0
"Rp1",4,4,8,4,2,4,4,3,0,6,2,18,12,4,7,10,9,7,14,6,3,4,8,0,6
"Sox17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm37587",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"Gm37323",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mrpl15",152,151,309,184,44,201,47,196,29,168,45,359,301,241,295,81,231,354,433,160,157,181,263,13,190
"Lypla1",82,103,168,83,20,62,17,74,12,95,35,262,194,92,125,49,103,186,262,79,88,96,170,7,125
"Tcea1",91,105,174,83,38,157,34,125,56,80,27,237,176,157,231,102,155,158,207,103,111,107,198,20,130
"Rgs20",6,3,5,5,1,4,1,2,0,2,1,13,6,3,3,1,4,4,3,5,10,1,1,0,3
"Gm16041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atp6v1h",158,219,374,199,39,118,34,128,25,172,57,438,370,148,135,65,136,352,468,169,153,128,158,21,116
"Oprk1",0,0,1,0,0,1,0,1,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0
"Npbwr1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rb1cc1",48,43,80,46,18,42,7,39,8,41,19,100,86,36,37,20,32,76,103,40,57,43,52,2,36
"4732440D04Rik",3,1,3,2,0,1,0,0,0,2,1,1,3,0,0,0,1,1,3,3,0,0,1,0,0
"Alkal1",2,12,27,11,2,7,0,12,1,11,4,35,16,6,6,8,11,12,17,13,8,3,18,2,15
"St18",34,37,61,42,11,22,6,30,6,27,16,84,86,38,33,16,42,58,72,25,41,24,39,2,25
"Pcmtd1",32,48,61,27,10,31,10,40,8,28,15,67,49,31,38,23,29,63,60,29,38,23,58,5,41
"Gm26901",24,34,68,14,3,11,2,26,3,14,7,34,71,8,21,4,22,13,34,15,8,13,19,2,16
"Gm30414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Sntg1",36,55,70,51,7,27,13,27,8,30,22,110,67,37,32,29,33,64,99,32,49,19,52,5,32
"Rrs1",33,41,65,40,6,31,7,28,6,42,16,85,93,36,27,14,27,56,83,32,30,37,37,4,24
"Adhfe1",40,56,63,36,9,17,7,41,6,29,17,81,69,35,36,17,29,57,94,27,21,19,48,2,17
"2610203C22Rik",2,4,3,5,2,3,0,2,0,4,0,5,1,4,2,0,3,2,5,3,3,0,4,0,1
"Vxn",0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
"Gm29520",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mybl1",2,5,8,1,0,2,0,4,1,6,2,13,9,0,2,1,1,10,10,7,4,2,5,0,2
"Vcpip1",222,256,422,196,57,149,51,123,22,182,91,486,417,145,138,82,174,341,384,150,188,112,152,17,109
"1700034P13Rik",24,25,36,18,1,4,4,6,0,13,7,43,42,7,6,5,5,37,42,14,22,5,8,0,9
"Sgk3",57,61,108,54,11,35,13,43,4,59,13,120,110,34,53,24,45,97,109,29,45,42,55,7,53
"Mcmdc2",1,2,5,2,0,0,0,2,0,0,1,10,5,0,1,0,1,1,6,0,1,0,2,0,0
"Snhg6",35,46,57,43,5,6,2,4,2,27,6,86,72,8,12,3,5,62,76,25,25,10,8,1,13
"Tcf24",0,1,0,0,1,1,0,0,0,1,0,2,2,3,2,0,1,1,4,0,3,0,1,1,2
"Ppp1r42",6,4,1,2,1,4,1,1,2,1,2,8,1,3,3,0,2,7,8,1,3,0,4,0,1
"Gm15818",3,3,5,3,0,1,0,0,0,2,1,6,10,0,0,2,2,6,9,2,2,0,0,0,0
"Cops5",122,185,303,177,23,108,26,111,16,157,47,375,329,99,141,52,143,271,395,131,116,112,204,17,116
"Cspp1",29,34,47,21,7,24,9,35,7,25,13,62,47,42,32,12,32,54,64,26,21,21,30,4,26
"Arfgef1",68,89,143,71,21,54,13,60,7,90,35,153,127,60,68,46,62,138,139,46,66,60,68,8,52
"Cpa6",17,11,13,12,4,5,0,4,0,9,3,26,19,10,6,1,5,15,19,10,14,8,11,1,4
"Prex2",28,28,54,28,10,21,9,21,7,28,9,70,60,32,31,16,28,52,78,24,23,18,46,1,33
"A830018L16Rik",13,16,31,15,2,25,4,23,0,12,10,21,36,12,10,10,9,12,37,7,13,10,25,0,13
"Gm17644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm29663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sulf1",1,2,3,3,0,0,0,1,0,2,2,3,3,0,2,1,0,1,6,0,1,0,0,0,0
"Slco5a1",1,1,2,1,0,0,0,1,0,2,0,3,4,0,0,0,0,1,2,2,0,0,0,0,0
"Gm29283",0,0,0,2,1,0,0,2,0,1,0,0,0,0,1,0,0,1,3,1,0,0,3,0,2
"Prdm14",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
"Ncoa2",14,19,40,18,3,14,3,16,3,22,9,45,32,8,13,14,13,27,34,12,31,12,20,1,15
"Gm29570",1,0,3,2,0,0,0,0,0,2,1,1,6,0,0,1,0,1,3,2,0,0,0,0,0
"Tram1",210,272,427,240,51,118,37,145,14,196,110,469,324,131,127,68,134,359,493,131,224,160,227,10,163
"Lactb2",30,37,47,30,2,15,3,26,1,20,7,42,50,21,19,8,17,55,72,24,21,17,24,1,13
"Xkr9",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Eya1",2,5,6,0,0,3,0,2,1,2,3,9,7,0,1,0,1,8,8,2,3,0,2,0,3
"Gm9947",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Msc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trpa1",0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"Kcnb2",3,2,2,3,0,0,0,0,0,2,1,7,6,2,3,0,2,2,9,5,3,1,2,0,1
"Terf1",15,17,30,21,2,14,3,23,3,21,4,46,45,15,19,17,20,41,47,15,18,22,28,1,20
"Sbspon",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4930444P10Rik",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rpl7",1434,1822,2719,1471,254,900,254,1077,197,1509,468,3715,3251,1266,1476,667,1375,2705,3696,1269,1197,1098,1720,128,1280
"Rdh10",3,4,3,2,0,2,3,2,1,2,2,11,5,2,2,1,4,5,6,5,5,0,4,0,2
"Gm28095",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stau2",12,10,24,13,3,10,0,10,2,16,3,24,25,11,13,3,15,23,29,11,15,5,13,1,6
"Gm7568",0,0,1,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,2,1,0,3,2,0,2
"Ube2w",129,182,246,133,28,103,37,117,23,149,51,333,356,127,153,80,166,261,440,123,143,131,195,10,201
"Eloc",647,711,1147,594,206,597,160,714,129,627,166,1382,1276,777,827,388,780,1077,1472,507,456,711,915,63,858
"D030040B21Rik",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Tmem70",28,35,63,29,1,18,3,30,4,28,9,68,60,26,34,18,30,63,73,19,17,19,40,3,35
"Ly96",99,100,175,99,14,78,30,86,10,94,35,249,208,101,124,56,123,168,260,85,82,92,118,11,112
