"","sgScr-g1-R1-input","sgScr-g1-R2-input","sgScr-g2-R1-input","sgScr-g2-R2-input","sgScr-g1-R1-polysome","sgScr-g1-R2-polysome","sgScr-g2-R1-polysome","sgScr-g2-R2-polysome","sgCtu1-g1-R1-input","sgCtu1-g1-R2-input","sgCtu1-g2-R1-input","sgCtu1-g2-R2-input","sgCtu1-g1-R1-polysome","sgCtu1-g1-R2-polysome","sgCtu1-g2-R1-polysome","sgCtu1-g2-R2-polysome","sgCtu2-g1-R1-input","sgCtu2-g1-R2-input","sgCtu2-g2-R1-input","sgCtu2-g2-R2-input","sgCtu2-g1-R1-polysome","sgCtu2-g2-R1-polysome","sgCtu2-g2-R2-polysome"
"Xkr4",22,22,31,20,5,16,3,15,21,8,30,31,17,23,6,15,22,30,0,35,10,10,16
"Gm1992",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0
"Gm19938",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm37381",1,0,4,2,1,3,1,2,2,1,2,4,1,1,2,1,2,3,0,1,2,0,1
"Rp1",9,11,10,11,0,10,3,9,14,5,6,12,10,13,10,7,10,14,0,15,3,3,4
"Sox17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm37587",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Gm37323",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mrpl15",413,450,408,388,91,301,84,397,329,64,632,507,384,440,272,459,407,662,2,434,275,231,465
"Lypla1",231,215,222,207,28,150,30,162,223,50,367,340,178,231,151,211,272,446,0,369,141,100,244
"Tcea1",367,372,388,275,125,502,85,522,280,81,459,380,538,690,289,523,297,440,0,365,298,222,528
"Rgs20",10,5,3,12,4,3,2,7,6,3,7,11,2,1,2,3,8,10,0,7,2,1,3
"Gm16041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atp6v1h",421,453,554,451,68,199,53,219,455,112,737,658,240,261,192,237,534,798,1,627,194,172,277
"Oprk1",0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0
"Npbwr1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rb1cc1",121,129,119,89,25,87,24,80,94,28,145,100,100,102,63,99,90,168,1,125,55,67,77
"4732440D04Rik",2,1,3,3,0,0,1,0,4,0,5,2,4,0,1,0,7,3,0,3,1,1,1
"Alkal1",14,13,10,14,3,6,4,4,11,2,31,18,11,10,10,17,16,26,0,20,11,2,21
"St18",82,76,76,70,12,47,11,52,65,31,97,90,55,79,48,44,70,113,0,81,34,29,53
"Pcmtd1",75,67,67,68,14,61,12,70,78,21,90,78,74,57,57,70,58,79,0,86,42,28,88
"Gm26901",62,36,23,28,11,37,4,24,48,18,49,29,22,18,35,26,67,42,0,70,21,7,57
"Gm30414",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Sntg1",55,69,85,47,8,43,5,28,43,18,90,70,37,40,43,50,50,76,1,59,25,27,49
"Rrs1",92,88,96,79,16,57,15,57,82,28,128,100,54,60,42,55,111,127,0,113,33,37,79
"Adhfe1",113,78,71,56,17,54,11,48,74,15,106,92,52,51,31,41,75,105,1,86,32,40,67
"2610203C22Rik",8,6,6,7,1,1,1,1,5,3,4,5,2,2,2,3,1,3,0,8,0,1,2
