"","gene","my_genes","sgAI987944_p1...sgCtrNT_p1","sgAtf3_p2...sgCtrNT_p2","sgBach1_p1...sgCtrNT_p1","sgBhlhe40_p1...sgCtrNT_p1","sgCebpb_p1...sgCtrNT_p1","sgE2f5_p3...sgCtrNT_p3","sgEgr1_p1...sgCtrNT_p1","sgEgr2_p3...sgCtrNT_p3","sgEtv3_p3...sgCtrNT_p3","sgEtv6_p1...sgCtrNT_p1","sgFli1_p3...sgCtrNT_p3","sgFosl2_p3...sgCtrNT_p3","sgIrf1_p8...sgCtrNT_p8","sgIrf2_p4...sgCtrNT_p4","sgIrf3_p5...sgCtrNT_p5","sgIrf4_p8...sgCtrNT_p8","sgIrf7_p4...sgCtrNT_p4","sgIrf9_p4...sgCtrNT_p4","sgJun_p8...sgCtrNT_p8","sgJunb_p4...sgCtrNT_p4","sgKlf3_p5...sgCtrNT_p5","sgKlf6_p4...sgCtrNT_p4","sgMafb_p5...sgCtrNT_p5","sgMax_p5...sgCtrNT_p5","sgNfe2l2_p4...sgCtrNT_p4","sgNfkb1_p8...sgCtrNT_p8","sgNfkb2_p6...sgCtrNT_p6","sgPparg_p7...sgCtrNT_p7","sgRbpj_p6...sgCtrNT_p6","sgRela_p8...sgCtrNT_p8","sgRest_p7...sgCtrNT_p7","sgStat1_p8...sgCtrNT_p8","sgStat2_p7...sgCtrNT_p7","sgStat3_p8...sgCtrNT_p8","sgStat5a_p8...sgCtrNT_p8","sgTgif1_p8...sgCtrNT_p8"
"1","Nfe2l2","TRUE","-0.154891133"," 0.831509308"," 0.239181601","-0.6311467957"," 0.452222524"," 0.048005034"," 0.157441434","-0.196962175","-0.010125192"," 0.181059441","-0.313065219"," 0.047507873","-0.078736720"," 0.1112557966"," 0.98198267"," 0.059135677","-0.2295553903"," 0.529441626"," 0.230007722"," 0.20085676"," 0.02298495"," 0.0006098706"," 0.142034779"," 0.708619959"," 0.26271479","-0.115480195"," 0.2151162429","-0.239955714"," 0.410241403","-0.92668083","-0.242309447"," 0.227272632"," 0.813185991","-0.007333108","-0.335031416","-8.473480e-02"
"2","Slc7a11","TRUE","-0.407633918"," 1.164960715"," 0.655244170","-1.1337470453","-0.711713253","-0.178208910"," 0.002144080","-0.712995760"," 0.003236544","-0.505352579","-0.300265545"," 0.091678355","-0.182410746","-0.0301126684"," 0.90145594"," 0.444467655","-0.2497974796"," 0.633943393"," 0.327986004","-0.20538353"," 0.10751754","-0.4120280406"," 0.223170556"," 0.247621975","-0.43377904"," 0.297800428"," 0.2738317923"," 0.060997441"," 0.254997059","-1.52419679"," 0.195679206","-0.032647108"," 0.877661616","-0.090585946","-0.372079139"," 4.099182e-01"
"3","Slc48a1","FALSE"," 0.389209242","-0.286302472"," 1.561662667"," 0.0603261238"," 0.623449119","-0.024415891"," 0.212742866","-0.322585542"," 0.140080542","-0.003967505"," 0.173949851"," 0.041192152","-0.151759488"," 0.0293436517"," 0.25590546","-0.530390306"," 0.0848552298"," 0.074807481"," 0.086892359"," 0.08667961"," 0.14514013","-0.2139967969","-0.058161304","-0.077011350","-0.74647545","-0.176741727","-0.0312575193","-0.357548597"," 0.431107237","-0.19054906","-0.367839300"," 0.046269088"," 0.052819109"," 0.149586848","-0.005453253","-3.769271e-01"
"4","Slc7a2","FALSE","-0.373045204"," 0.343370396"," 0.052649941","-0.2306848143","-0.818013090"," 0.089882158","-0.052121722","-0.438811998"," 0.011457051","-0.069192930","-0.260130441","-0.065028052","-0.080936655","-0.1774293863"," 0.13376581"," 0.331938177","-0.1580491345"," 0.246682569"," 0.166792318","-0.10872094"," 0.08167600"," 0.1117757889"," 0.161324441"," 0.037899045"," 0.17413663"," 0.197707847","-0.0793366573"," 0.250048052","-0.465514108","-0.71717712"," 0.086647473","-0.235998252"," 0.167800533","-0.451744824","-0.444071855"," 7.508161e-02"
"5","Slc28a2","FALSE","-0.229408370","-1.460581720","-0.339572945"," 0.5799749610","-0.584029139","-0.201286803","-0.003484100","-0.328980084","-0.368107216"," 0.499456505"," 0.320192951","-0.408533048","-0.069855560","-0.0970521284","-0.10484001","-0.560466507","-0.3776366645","-1.294618059","-1.089741736","-0.20265948","-0.33301789"," 1.1118691639","-0.448486215"," 0.428299563","-0.20748897","-0.237129054","-0.7274292097","-0.099602534"," 0.143407549"," 0.32192773"," 0.077718763","-0.552687786","-1.200841565","-0.579367541","-0.291866881","-1.073962e+00"
"6","Slc3a2","TRUE"," 0.196880689"," 0.372520799"," 0.195631907"," 0.2276694993","-0.028147850"," 0.203026458"," 0.103530613"," 0.166010675"," 0.214085952","-0.158017141"," 0.006606385"," 0.286562999"," 0.076041711"," 0.3481190062","-0.16736736","-0.036293125"," 0.2811606259"," 0.251192999","-0.030457744"," 0.10802540"," 0.30692580","-0.2015211711"," 0.305927447","-0.437500090"," 0.15932003"," 0.248833700"," 0.0395918898"," 0.137803781","-0.001673330"," 0.38763992","-0.110584690"," 0.359441392"," 0.026376295"," 0.269820499"," 0.168860779"," 4.423597e-01"
"7","Slc6a12","FALSE","-0.091498642","-0.036569835"," 0.092832769","-0.2599834029","-0.239977897"," 0.478103354"," 0.266168584","-0.790766343"," 0.374965166"," 0.247530624"," 0.342565839"," 0.291007812"," 0.243511064"," 0.0573695975"," 1.53698650"," 0.262943376","-0.0843620251"," 0.500839327","-0.052420299"," 0.15184765"," 0.21523788"," 0.1886107685","-0.087499172","-0.007620282"," 0.12118424","-0.402791944"," 0.9085479347"," 0.104312707","-0.688193597","-0.73726042"," 0.225426734"," 0.110782318"," 0.502225672"," 0.245773020","-0.085858686"," 1.155888e-01"
"8","Slc25a37","FALSE","-0.437349460"," 0.830351250","-0.017418132","-0.1924302786","-0.822648967","-0.025028784","-0.300025535"," 0.005947538"," 0.212327087","-0.242765916","-0.080374783"," 0.304110075","-0.034291274"," 0.3189787926","-0.53045241"," 0.324687701","-0.1609409588"," 0.205616648"," 0.218325528","-0.15143232","-0.10581657","-0.1802128338"," 0.170792942","-0.467275334"," 0.10951955"," 0.608586693"," 0.1580505251"," 0.361124467","-0.264113175","-1.40867769"," 0.237096393"," 0.090421940"," 0.223299719","-0.197924437"," 0.208843336"," 3.960357e-02"
"9","Slc38a1","FALSE","-0.132275358"," 0.719032410","-0.107621247"," 0.0243581977"," 0.133931078","-0.180815669","-0.361199916"," 0.201869568"," 0.186599657","-0.234066913"," 0.007620345"," 0.018429521","-0.198678721","-0.0265157612","-1.03437401"," 0.050881263"," 0.1282205249"," 0.283057822","-0.165666940","-0.11352000"," 0.29201830"," 0.2303467673"," 0.532827659"," 0.190552671"," 0.26334588"," 0.386088754"," 0.3102169683"," 0.386399585"," 0.697828851"," 0.13678874"," 0.243480433"," 0.016076491"," 0.585601249","-0.364667920","-0.149831196","-2.973225e-03"
"10","Slc2a6","FALSE","-0.190844153","-0.082077360","-0.040728247","-0.6131852240"," 0.075005645"," 0.189898911","-0.137317147","-0.320557939"," 0.207163619"," 0.302222794","-0.370589048","-0.066556420"," 0.144587490"," 0.3052631070"," 0.59940068"," 0.064493001","-0.4046035593"," 0.081195205","-0.117676410"," 0.12875121"," 0.06431246","-0.3819856036"," 0.331728900"," 0.310537713"," 0.05056134"," 0.282920457","-0.0367347409"," 0.188638348","-0.939926030","-1.74731551"," 0.248464603","-0.084661164","-0.033436233"," 0.212127621"," 0.062530575","-1.446330e-02"
