	sgAI987944_p1...sgCtrNT_p1	sgAtf3_p2...sgCtrNT_p2	sgBach1_p1...sgCtrNT_p1	sgBhlhe40_p1...sgCtrNT_p1	sgCebpb_p1...sgCtrNT_p1	sgE2f5_p3...sgCtrNT_p3	sgEgr1_p1...sgCtrNT_p1	sgEgr2_p3...sgCtrNT_p3	sgEtv3_p3...sgCtrNT_p3	sgEtv6_p1...sgCtrNT_p1	sgFli1_p3...sgCtrNT_p3	sgFosl2_p3...sgCtrNT_p3	sgIrf1_p8...sgCtrNT_p8	sgIrf2_p4...sgCtrNT_p4	sgIrf3_p5...sgCtrNT_p5	sgIrf4_p8...sgCtrNT_p8	sgIrf7_p4...sgCtrNT_p4	sgIrf9_p4...sgCtrNT_p4	sgJun_p8...sgCtrNT_p8	sgJunb_p4...sgCtrNT_p4	sgKlf3_p5...sgCtrNT_p5	sgKlf6_p4...sgCtrNT_p4	sgMafb_p5...sgCtrNT_p5	sgMax_p5...sgCtrNT_p5	sgNfe2l2_p4...sgCtrNT_p4	sgNfkb1_p8...sgCtrNT_p8	sgNfkb2_p6...sgCtrNT_p6	sgPparg_p7...sgCtrNT_p7	sgRbpj_p6...sgCtrNT_p6	sgRela_p8...sgCtrNT_p8	sgRest_p7...sgCtrNT_p7	sgStat1_p8...sgCtrNT_p8	sgStat2_p7...sgCtrNT_p7	sgStat3_p8...sgCtrNT_p8	sgStat5a_p8...sgCtrNT_p8	sgTgif1_p8...sgCtrNT_p8
Hmox1	0.447489790870385	0.0894338994105066	4.15086424802517	0.22448519651824	0.344517744936848	0.0809463463279503	0.463195239303099	0.224654977588708	0.213887562537034	-0.0283502541968534	0.0629059620274859	0.162003717899228	0.0914745003660578	-0.0238976945365099	0.460961128830451	-0.101970405802735	0.0171017626795624	0.342002567270503	0.526498310918294	0.291659511593148	0.156170197531546	-0.0885199743037806	-0.0102671565750381	-0.317645972294216	-0.480401008321597	0.152034655418872	-0.272121564393931	-0.482843662526104	0.0222947668717968	0.216236844088638	-0.381923235801597	0.203838711343447	0.224164026857546	0.0416519574239658	0.11509631682441	-0.180690849428586
Cxcl10	-0.011711406227306	0.0622388031872436	-0.0353179981596714	0.00264999222043372	-0.553012159798024	0.00981097201650094	-0.0834098124046037	0.171912452865346	-0.168165332590204	-0.00191444551139597	-0.0748725468162128	-0.0906551216974876	0.163044091710727	-0.0286363499398696	-1.12833010185494	-0.0578617281991338	-0.0967736310968288	-1.43950528605463	-0.225142391384535	-0.0594384870613123	-0.0454777333228336	0.389716985548741	-0.255948923825338	-0.187626948454355	0.0193014790967254	-0.262251128926804	-0.246702527519073	-0.0521435987095398	-0.190388744595415	-0.677805911172316	-0.0731815017252551	-0.386115148651125	-1.46078363091038	0.0178809073231978	0.100577383932919	-0.00169502783201203
Cmpk2	-0.18366028804328	0.018931018783082	-0.142953823190249	-0.09290858874372	-0.464221651204118	0.0827975045372256	-0.0730613883340272	0.174945179057969	-0.0226297552317067	0.0245627769556975	-0.208034188765746	-0.0429167549631941	-0.41297182754592	0.0477576567331681	-1.00678203082995	-0.0266305550413328	-0.155026111758916	-1.68594150676952	-0.0890526774290628	-0.00615357006860862	-0.139538954259645	0.224462895444397	-0.281927040713112	-0.360362516285939	0.0749172891913439	0.00453188307049324	-0.167918830247762	-0.00310789733978289	-0.113641579962586	-0.00114173264601369	0.0544214725694907	-0.435823726980351	-1.94984944465369	-0.207479215545099	0.000805855648925657	-0.0662777054105366
Mx1	-0.360538823360177	-0.372216618991946	0.0482304889657712	-0.0507491168204748	-0.171621058187114	-0.118336826847962	0.0597431363505976	0.0594391269471632	-0.196603670494696	0.0424158004201942	-0.0156754784369344	-0.198931077456312	-0.352981060591265	-0.25596804596386	-0.096260297410506	-0.0419928174666886	-0.321794918610948	-2.1874817242487	-0.00116251809049395	-0.0355935459505812	-0.219666403165046	0.229716151460286	-0.526489474229106	-0.281478784603644	-0.144031062037682	-0.421931298636679	-0.166710082841549	0.20955951821445	-0.115434987968282	-0.648394326912197	0.271102745700015	-0.688707644362779	-1.68413086387698	-0.3674620296841	-0.204801164189661	-0.294544832837504
AW112010	0.0375977091459117	0.00109516837523138	0.0385364036580071	-0.422217391175741	-0.735211803327966	0.0293430392548331	-0.0210769681251044	-0.204460263101705	-0.426163504488493	0.00559680088291081	-0.226501531647509	-0.260789847703052	-0.380603198515741	0.775290462900893	-0.37234759813804	0.211551466871722	-0.426432964331362	-1.16591195413331	0.0239655327657537	0.0816563329296169	-0.0288985135065332	-0.176134070437385	-0.211868435110668	-0.371722084405254	-0.113997336552988	-0.285909433965227	-0.129288268558238	-0.394555266288473	-0.364088367179008	-1.46482517696258	-0.378717848794926	-0.473689204111233	-1.53765683607106	0.131535242829679	0.280283640438261	0.0152363757338101
Spp1	0.166496464538021	0.261260887472003	0.125626219545868	-0.160926379193993	-0.84875959440231	0.0992401926922195	0.0816904593964516	0.0388581957438703	-0.0170598977261438	0.44579017791702	-0.63629049595564	-0.114510679821519	0.194753215741484	-0.0628197512568445	0.077824012811881	0.995463660898698	-0.0121948305545185	-0.00385023266709439	0.314631341212065	0.142262551530372	0.0760713762327008	0.107103486887606	-0.628224624634059	-0.579570768465826	-0.0550109343574103	0.334593301511987	-0.651229871857675	-0.264773856440426	-0.405983142001739	0.421348266941351	-0.138697837215556	0.0269457360755379	-0.2153517107437	0.0465721291860444	0.405310545630098	0.09333468137112
Ifit1	0.0177706035129752	0.0941148196057107	-0.0834352420215509	-0.109317755813382	-0.322432496275677	-0.0801655469495124	-0.0948808997929618	0.108293039219422	-0.34093802306572	-0.0757392057782091	-0.0955600554780958	-0.1534196666928	0.049626833980879	0.101186536108347	-0.95192456606706	0.044734804473908	-0.05396487755654	-1.06274055532316	-0.0168253120914734	-0.0277393342295653	0.201679519128964	0.0769997121586048	0.107900247035069	-0.363823702882108	0.0767942679624785	-0.0618519004547871	-0.0617652729697333	-0.15382401044611	-0.0625066165131418	0.145139017014225	-0.188991529767071	-0.272227022625502	-1.15947895012234	0.0182900835125714	0.0211064513305868	0.232874988783195
Anxa1	0.127670622145953	-0.66885314471434	-0.245641998495058	-0.0553026041892242	0.319906451299321	0.11036609231873	0.0588377232877733	-0.78666655934053	0.170770038947463	-0.0759853716019379	0.158230706289647	-0.00448343524215389	0.0514196355822403	-0.328710605457887	0.192049803772898	-0.894593663975874	0.0313951692186354	-0.328694766278108	-0.804156877905779	-0.0255476158050083	0.14642967538988	0.193559948421461	0.101900289554731	-0.296718298786361	0.174444197660533	-0.258166676772804	0.280232157312367	-0.197124452061374	0.0742849498761764	0.471463996865982	-0.30999150544001	0.00994539332271849	-0.438672218871032	0.0744954827079987	-0.188035456467516	0.131423546769584
Cited2	-0.0413643157919132	0.388290211702159	-0.174625483291612	-0.047666462424278	-0.014687873653223	0.0969458154544363	-0.0861182549690547	0.177767566360762	0.0157597597364045	-0.248056193877169	-0.21746734328657	0.0562415258565316	-0.170694412033509	-0.359070585391517	-1.00234159607352	-0.569681888939323	0.0224051212968792	-1.39366951446809	-0.687357442581494	-0.0718619770555762	-0.136029710048161	0.284135190199324	-0.0446280701435455	-0.545285446265625	0.0857877241689575	0.0716087358401598	0.0262844848639148	0.205671765970109	0.157612341186491	-0.0660405667874429	0.0459496314845254	-0.184519356489217	-1.32219305687412	-0.0770649124219744	-0.145366623747698	-0.0102103267317446
Rsad2	0.0142787087753362	0.150673726238995	-0.0067818020027044	-0.113384014984868	-0.311571812344477	0.04195254546919	-0.0312728940296587	0.0418431837480036	-0.319025554687588	-0.127846767595971	-0.146858714431664	-0.168350107729818	-0.161809281239917	0.0085754213772038	-0.647137054658227	-0.0161914591232151	-0.0995036967853089	-1.09284286180371	-0.05280300573909	-0.058494005754369	0.158163695169053	-0.186644662413478	0.005344766009868	-0.146509933843268	0.0214108000505533	-0.0652395425113266	0.0429561568581818	-0.165686625606641	0.00959004286256793	-0.170920721219803	-0.131644219517197	-0.422635908378586	-1.27592950539946	-0.104124641920199	-0.0844805552692609	0.0643650965266005
Ifitm3	0.138405573123393	0.483575142425803	-0.0385614740167792	0.0920209828257388	0.0313166111815626	0.114847312498659	-0.0290361322029735	0.423976679364545	0.191281196035209	0.209731770303671	-0.260016432815624	0.132615899014548	0.105627372371725	-0.0278532973878107	-0.301005918513619	0.153971747522437	0.121880743084388	-1.84344390737262	0.0357322064132148	0.0608315353626594	0.0933437439390481	0.476727247629807	0.169341023139598	-0.000872534087372756	0.250685085072659	0.191360474542764	0.00673027373180624	-0.0738496521626217	-0.339223481560929	-0.0417150570053124	-0.218291959129751	0.0782543110174583	-1.64044511363472	0.103741663651819	0.287303322769688	-0.0266743187235985
Ifi209	-0.0836190959945604	0.0246397903231994	-0.214270362426042	-0.174992921236138	-0.303919563598248	0.136821926380067	-0.0828488496452877	0.0805175880697053	0.127948351568518	-0.091293162115166	0.0825097265030195	0.0174226500222598	0.100097852757267	-0.251833924304661	-0.832622012840595	-0.0424668375330821	-0.0718913648566435	-1.65249296691931	-0.0784412193636026	-0.00587789384177562	-0.0112544081213795	0.265037129037957	0.0811352391194653	-0.288887611712152	0.201478613932368	0.154770452571961	-0.0166417197905133	-0.0745982176614639	-0.0309749847550744	0.115205652870614	-0.16868104369456	-0.143187288250944	-1.40439302561916	-0.1312821680486	-0.0657305141024658	0.0712158408980876
