"","LSG2h_Input","LSG2h_Pool1","LSG2h_Pool2","LSG2h_Pool3","LSG6h_Input","LSG6h_Pool1","LSG6h_Pool2","LSG6h_Pool3"
"Cav2",0.890532639166245,0.822191624448029,1.07619629751136,0.708255051726666,0.704579530550714,0.766029987103176,0.746046658168698,0.0535035115873161
"Klf6",1.4750662909824,1.52273962455741,1.43037210469462,1.3440056334205,0.828541590644625,0.926513542679625,0.750531221066915,0.790965078070384
"Gna12",-1.08387322919998,-1.1933836409316,-1.53785828129874,-1.00421118485384,-1.61447130321976,-1.73363035841913,-2.01220605585448,-1.4369516559789
"Sdhd",-0.486946348355313,-0.239666396533815,-0.363794437397093,-0.427409297372605,-0.775204883068833,-0.386990792970985,-0.634755692347112,-1.09489891995448
"Ccnd2",2.04151225287128,2.25554479847024,2.16405758329823,2.3947011101109,2.92676495126689,3.40599672647125,3.55253452935919,3.96080410907568
"Slfn4",1.01513368994326,1.71318829411939,0.738565063003617,0.568390216498741,2.42613185521657,3.12301533920556,1.65686874112695,0.911143170723855
"Tspan32",-1.38972249595695,-1.39983512126321,-1.20464289797245,-1.27635543419234,-2.37209204425441,-2.6412772681619,-2.4167494005761,-2.47929980172624
"Lhx2",2.61927879235549,3.1592454628378,2.19128610703411,2.03040159542795,3.22098903809741,3.54922075131819,3.19795771750121,2.46297998746172
"Trim25",1.19457545434987,1.28634919841289,1.30168998377828,1.23675146850809,1.30594515186748,1.37084665883813,1.5216022491841,1.46901545237939
"Mnt",-1.55467713153944,-1.99689912545112,-2.09990481695761,-2.29723488214994,-1.24143516487836,-1.47608410080115,-1.28534630671322,-1.55573310602236
"Hddc2",-0.0704283465151296,-0.128966101328852,-0.339770305359744,-0.104886735892924,-0.666790155828734,-0.923532232895778,-0.948923352036408,-1.38970710773309
"Clec10a",-0.0595856043456475,0.00906589692223392,-0.0129903048273299,0.00995776656437286,-1.51746648149239,-1.09636944987146,-1.17117790462191,-1.39571195298623
"Ccm2",-0.699676659341891,-0.601879646867746,-0.780397144560824,-1.07579955503075,-0.45704227542348,-0.197603870494915,-0.639868919975896,-0.739708032122303
"Mx1",1.5964850276105,1.94278337950495,1.60027490459972,1.29033761687997,1.86842462267342,2.0497852103166,2.04721580569779,1.85930372609569
"Mkrn2",-0.911380487586553,-0.699187795867239,-0.83067778614047,-1.07512972423702,-0.101713591996415,0.183523491228279,0.0994325805039527,0.00432465522585757
"Pparg",-0.921396588575496,-0.789439250256696,-1.01706431919383,-1.2600867504649,-2.30491745510587,-3.39161098728675,-3.1303140966968,-2.41407558689322
"Pdgfb",-2.10797887369547,-2.22208863728077,-2.26787814306898,-2.10877550448515,-2.51132435405536,-2.13456469034339,-2.5631357212164,-2.90987137372001
"Acvrl1",-1.0048983434091,-0.783676766203603,-1.0377185892352,-1.10826953145776,-1.49643738427158,-1.37746211908132,-1.62074193390475,-1.43147151853777
"Zfp385a",-1.03995883237319,-1.15552874544981,-0.895921838823757,-0.713451275700425,-1.26115567756831,-1.29133724212487,-0.847007439406819,-0.665820348997134
