"","sgCtu1_input","sgCtu1_polysome","sgCtu2_input","sgCtu2_polysome","sgCtu1_TE","sgCtu2_TE"
"Lypla1",0.302956424076666,0.341833019967351,0.295275419262571,0.63355959182743,0.0388765958906845,0.338284172564859
"Sp140",0.043594194505455,-0.145137419408441,-0.191904735897478,-0.65609419313393,-0.188731613913895,-0.464189457236452
"Ncl",-0.305595123170846,-0.661926156185347,-0.158896403050511,-0.834410006828342,-0.3563310330145,-0.675513603777832
"Ppp1r15b",-0.248985805991033,-0.0369079469208167,-0.556099570041328,-0.293649452617958,0.212077859070217,0.26245011742337
"Ifi203",-0.134984144348365,-0.170570892464624,-0.410287235174552,-0.55759961708838,-0.0355867481162591,-0.147312381913828
"Rbm17",-0.0541945687906242,-0.332245184165865,0.150909321149743,-0.642176072382302,-0.278050615375241,-0.793085393532045
"Il15ra",-0.12846965292575,0.173411490631457,-0.526065482352887,-0.276941975860038,0.301881143557207,0.249123506492849
"Mrc1",-0.0991046457862446,-0.292043881394869,-0.270147720127721,-0.75398437350519,-0.192939235608624,-0.48383665337747
"Hspa5",-0.221232423655252,-0.176041574435231,-0.395696070962072,-0.433925485009208,0.0451908492200213,-0.0382294140471364
"Mettl15",-0.444827414509057,0.0120909189566478,-0.589428677505787,-0.093414210769055,0.456918333465705,0.496014466736732
"Eif2s2",0.0118982380602706,-0.303417599837582,-0.0283875470495616,-0.403734082600254,-0.315315837897852,-0.375346535550692
"Fabp4",-0.477419833499781,-0.563361230053125,-0.501701075124425,-0.629893662753528,-0.085941396553344,-0.128192587629103
"Ptx3",-0.122578073684428,-0.228261512678005,-0.326545392521883,-0.513789437106595,-0.105683438993577,-0.187244044584713
"Tmem154",0.0897128778100065,0.294845521752214,0.173220719222835,0.589795152386476,0.205132643942208,0.416574433163641
"Glmp",0.200211263905483,0.225186495470329,0.129167611154721,0.541261919960746,0.024975231564845,0.412094308806026
"Notch2",0.012264474498326,-0.523715597038551,-0.16572185755378,-0.738817237979691,-0.535980071536877,-0.573095380425912
"Lamtor3",0.0889768195379776,0.391726316005613,0.0501162353867013,0.576275052606266,0.302749496467635,0.526158817219565
"Cdk11b",-0.23987203411381,-0.246693723763055,-0.0728244254397206,-0.561211025621141,-0.00682168964924568,-0.48838660018142
"Ythdc1",-0.111862474448873,-0.417789504606368,-0.133398074862869,-0.823410284030689,-0.305927030157495,-0.690012209167819
"Aldh2",-0.138786292380053,-0.343103810400979,-0.301099247208209,-0.526603799244384,-0.204317518020926,-0.225504552036175
"Cdk8",-1.15529864337624,-0.756628082068891,-1.41555892736513,-0.913577884856256,0.398670561307352,0.501981042508877
"Zyx",0.159355928456637,0.241531660129892,0.201213150680252,0.469914162991564,0.0821757316732556,0.268701012311312
"Hk2",-0.104842030395156,-0.213675343831052,-0.348709317152757,-0.712391234058819,-0.108833313435896,-0.363681916906062
"Wnk1",0.0416280854921682,-0.532824527903052,0.0277781753017754,-0.878374420282648,-0.57445261339522,-0.906152595584423
"Etfbkmt",0.0527147771930445,0.906654219559765,0.293346722079413,1.48334489581126,0.85393944236672,1.18999817373185
"Nupr1",-0.046509575032287,0.0431052957150584,-0.349884168083527,-0.12449041097136,0.0896148707473454,0.225393757112167
"Ifitm1",0.305277678309922,0.393015463553749,0.346430615022296,0.583346550054564,0.087737785243827,0.236915935032268
"Bc1",-0.184999409543734,2.56474979793611,-0.0975448350844026,2.12757802363962,2.74974920747985,2.22512285872402
"Golga7",0.145775775776579,0.330231725399529,0.25744806614177,0.650804922662481,0.18445594962295,0.393356856520711
"Hmgb2",-0.0822812169336835,-0.125329927982587,-0.00215437761338144,-0.506866264395297,-0.043048711048904,-0.504711886781916
"Gdf15",-0.601187343232811,-0.292291076302984,-1.06188911787098,-0.391968527866826,0.308896266929827,0.669920590004156
"Smarca5",-0.0564833164220415,-0.218188046994743,-0.138701705783842,-0.59729738638249,-0.161704730572701,-0.458595680598648
"Junb",0.105056114140703,-0.212471604155724,0.347970196225383,0.0962156464246817,-0.317527718296427,-0.251754549800701
"Ccl22",0.372678569600682,0.417763943079112,0.0828171877879829,0.619422333081665,0.0450853734784307,0.536605145293682
"Ccl17",0.453440585352702,0.419819633016628,0.299271082592933,0.703210881099356,-0.033620952336074,0.403939798506423
"Plet1",0.348317694909616,0.430388829549033,0.25076946489316,0.52486558061538,0.082071134639417,0.274096115722219
"Snx3",0.0679941589926916,0.246759397402594,0.0134822877511604,0.471487508718055,0.178765238409903,0.458005220966895
"Ranbp2",-0.374072012296619,0.264994773778142,-0.586700883979981,-0.0737290340013814,0.639066786074761,0.5129718499786
"Vsir",-0.502178043404787,-0.57787495573312,-0.344173639780903,-0.609942415418737,-0.0756969123283326,-0.265768775637834
"Pfkl",0.0245876538931746,-0.774214647622748,-0.184672050386911,-1.28035655093033,-0.798802301515923,-1.09568450054341
"Ccl7",-0.159433255928514,-0.160998273681363,-0.304349938801034,-0.294137279907257,-0.00156501775284923,0.0102126588937761
"Ccl12",0.0116701017314238,-0.178616668820354,-0.308970685973717,-0.626689308255364,-0.190286770551777,-0.317718622281647
"Npepps",-0.0641174074353561,-0.482278150764917,-0.0645269780461968,-0.674982247402262,-0.418160743329561,-0.610455269356065
"Plxdc1",-0.133174121724726,-0.0415612556633285,-0.449927986648626,-0.103385142497174,0.0916128660613973,0.346542844151451
"Cmpk2",0.0365293215656113,0.304289494739314,-0.493307595132098,-0.334558230762125,0.267760173173703,0.158749364369973
"Gm26754",0.347364528119299,-1.08123963078016,0.141408926284195,-1.76588215452336,-1.42860415889946,-1.90729108080756
"Ankrd33b",-0.039588223621184,0.0376432923385512,-0.483870204076463,-0.00792120821357445,0.0772315159597352,0.475948995862888
"Ly6i",0.135094704700642,0.344533754143005,0.100384251888124,0.539101809282625,0.209439049442363,0.438717557394501
"St13",-0.00537510614810355,-0.291983054100954,0.0775645804123215,-0.500486616218703,-0.28660794795285,-0.578051196631025
"Dazap2",0.205092007851578,0.294012877036719,0.120383240951281,0.436884242487844,0.0889208691851415,0.316501001536563
"Glyr1",0.0436412861614182,-0.243588765536406,0.075300630336308,-0.606690791263828,-0.287230051697824,-0.681991421600136
"Parp14",-0.0186804416677848,0.0701000044466236,-0.472070328835639,-0.276687349406101,0.0887804461144084,0.195382979429538
"Cd200r4",0.3013119685333,0.319402947155818,0.216633482565205,0.664615334058735,0.0180909786225181,0.44798185149353
"Cldnd1",0.140270190353832,0.507982413184029,0.151568922487624,0.617558026401822,0.367712222830197,0.465989103914198
"Myl12a",0.243643146809944,0.310563800043733,0.165640189462538,0.485101633152013,0.0669206532337885,0.319461443689475
"Diaph1",-0.19818321055082,-0.400748652880751,-0.306100320340943,-0.65104938604859,-0.202565442329932,-0.344949065707647
"Gm4951",-0.017981812529678,0.0420119751499879,-0.605307575847858,-0.259379336248329,0.0599937876796659,0.345928239599529
