"","sgCtu1_g1_input","sgCtu1_g1_polysome","sgCtu1_g2_input","sgCtu1_g2_polysome","sgCtu2_g1_input","sgCtu2_g1_polysome","sgCtu2_g2_input","sgCtu2_g2_polysome","sgCtu1_g1_TE","sgCtu1_g2_TE","sgCtu2_g1_TE","sgCtu2_g2_TE"
"Lypla1",0.206152238985631,0.403798914806838,0.334282856749621,0.268448994717042,0.376736837040272,0.610848611278118,0.164771711482562,0.684747895889736,0.197646675821208,-0.0658338620325791,0.234111774237846,0.519976184407175
"Ube2w",0.187750343209565,0.0858167572835429,0.271899175966833,0.266478339013237,0.33488412534724,0.226763893486764,0.169539610405682,0.676466187950239,-0.101933585926022,-0.00542083695359619,-0.108120231860476,0.506926577544557
"Sdhaf4",0.148666790668311,0.253204634466549,0.126895904328962,0.269716610704028,0.0754741307002682,0.0916929405164035,0.0692686718209092,0.574133456020552,0.104537843798238,0.142820706375065,0.0162188098161353,0.504864784199643
"Mrpl30",0.0534106304547644,0.305999163078391,0.127583329698855,0.211572466950444,0.138591399487831,0.0516828287378885,-0.0565486328778206,0.663008626013434,0.252588532623626,0.0839891372515886,-0.0869085707499426,0.719557258891255
"Eif5b",-0.0436400859664277,-0.281453487633972,-0.108135299311857,-0.38011853927048,-0.030604672614456,-0.454621390481851,0.416217809995724,-0.662434504134813,-0.237813401667545,-0.271983239958622,-0.424016717867396,-1.07865231413054
"Nab1",-0.0731760764946916,0.270887552305969,0.106042622775843,0.393485291256919,-0.0320716716662375,0.0381551362404515,-0.287551903119567,1.04477460685331,0.344063628800661,0.287442668481076,0.070226807906689,1.33232650997287
"Ormdl1",0.594688723122157,0.642976532709021,0.00982882091678494,0.594135367051991,0.261826763738504,0.816928898045611,-0.0790966550860999,1.04778902752763,0.0482878095868635,0.584306546135206,0.555102134307107,1.12688568261373
"Sumo1",0.135063253260389,0.222654901484852,0.292125509591289,0.121239019631665,0.168306250666381,0.206654696447703,-0.0706366503671845,0.61338545166796,0.0875916482244623,-0.170886489959624,0.0383484457813204,0.684022102035144
"Ino80d",0.113506360526212,-0.327385083351734,0.0242829908051005,-0.263529849624437,-0.199995884280663,-0.14855053737731,-0.104126692441018,-1.48259742710809,-0.440891443877946,-0.287812840429537,0.0514453469033533,-1.37847073466707
"Rpl37a",0.0134179278344639,0.0186716199841008,-0.131217541521263,-0.128674356730674,-0.210508401298883,-0.137259319380034,0.265114257177338,0.0766376445994279,0.00525369214963689,0.00254318479058924,0.0732490819188492,-0.18847661257791
