"","sgCtu1-g1-R1-input","sgCtu1-g1-R2-input","sgCtu1-g1-R1-polysome","sgCtu1-g1-R2-polysome","sgCtu1-g2-R1-input","sgCtu1-g2-R2-input","sgCtu1-g2-R1-polysome","sgCtu1-g2-R2-polysome","sgCtu2-g1-R1-input","sgCtu2-g1-R2-input","sgCtu2-g1-R1-polysome","sgCtu2-g1-R2-polysome","sgCtu2-g2-R1-input","sgCtu2-g2-R2-input","sgCtu2-g2-R1-polysome","sgCtu2-g2-R2-polysome","sgScr-g1-R1-input","sgScr-g1-R2-input","sgScr-g1-R1-polysome","sgScr-g1-R2-polysome","sgScr-g2-R1-input","sgScr-g2-R2-input","sgScr-g2-R1-polysome","sgScr-g2-R2-polysome"
"Mrpl15",78.0132698119932,46.7410521908347,127.79311563881,142.351865479872,72.5583124232487,70.0547770612779,74.0307333698634,116.069541127184,91.8796475910166,86.4369310601768,106.302382022168,105.22043165496,95.2566241359129,72.1696073850578,63.9733583212853,99.6765666798149,69.9045255037975,57.1145709726991,80.546991953803,125.759440332001,75.1235240642335,80.9695523650999,98.7931496111519,113.389115120226
"Lypla1",44.1146466198771,36.3541517039825,48.7840939368071,60.3185870677425,52.9534202086105,45.1515838866708,44.7840238904112,51.753951238528,48.2757470393477,52.3013301103148,56.3813738902105,68.0132067731679,47.032958167107,40.4517544578668,34.4471929422306,65.5766886051413,37.7116519165223,38.9589457628345,36.6122690699104,38.7914691571347,40.8438577436609,36.5243089473005,35.7336924125443,42.8101761168199
"Tcea1",37.1491761009491,28.0446313145008,83.2511168269425,111.468748901188,47.9006129367965,40.9622616703817,93.2238864657538,77.8821596307946,41.0084302807362,41.3220432550961,62.8417396484638,79.2153820063956,61.3214517874939,51.0243721002638,98.4205512635159,68.199756149347,41.8507356634577,39.7154301465788,69.5633112328298,98.230010607583,42.3025669487917,36.5243089473005,71.4673848250886,72.3144866838173
"Atp6v1h",79.8707286170406,59.2053327750573,78.4787598113853,65.1440740331619,88.5251834021809,86.1138455570525,59.4073786301373,68.3353142566972,91.3605535368301,93.4237499680433,75.1751651869473,63.2122745303561,100.614809243558,70.3308912733366,103.341578826692,60.8551670255712,72.6639146684211,82.8350400200073,71.3939246863254,73.8289251700305,90.9262071198166,87.5703310905157,71.4673848250886,74.0500343642289
"Rb1cc1",19.0389527517364,19.7351109250191,19.0894280622289,17.8543017720518,20.2112290872559,20.0156505889365,18.2791934246576,16.078897472164,19.7255740590883,20.5612099288642,25.2541570549901,20.8040397188514,23.8141560339782,26.2017045920274,9.84205512635159,18.8860863182807,22.0751133169887,16.2644142505037,32.9510421629194,26.2780920096719,19.44945606841,20.242388091275,14.7138733463418,22.562119845351
"St18",12.5378469340703,16.6190407789634,20.1499518434638,15.924106985884,16.977432433295,20.0156505889365,14.6233547397261,21.1035529322153,15.0537275714095,14.3728846104682,14.0953434725526,15.6030297891385,14.8838475212364,18.8468401451425,9.84205512635159,13.1153377210283,15.6365385995337,13.9949610992706,20.1367479884507,13.7647148622091,14.8302102521626,18.4821804311641,12.6118914397215,17.3554768041162
"Pcmtd1",13.0022116353322,15.5803507302782,16.4381186091415,18.3368504685937,13.5415234884615,11.4042660332313,21.0210724383563,14.5715008341487,16.3514627068758,11.9774038420568,13.5080374945296,23.2045058402573,17.2652631246342,17.4678030613516,24.605137815879,21.5091538624864,14.7167422113258,18.1556252098646,18.3061345349552,19.3957345785673,14.8302102521626,11.8814017057484,21.0198190662025,23.1406357388215
"Gm26901",6.5011058176661,7.27083034079651,4.24209512493974,10.1335226273807,6.87181788966701,16.524548742029,3.65583868493152,11.0542420121128,3.37411135221247,6.78719551049887,7.63497771429934,7.60147605111877,8.93030851274184,3.67743222344244,9.84205512635159,8.39381614145809,11.0375566584943,12.8602345236541,5.49184036048657,6.88235743110454,16.5320376581485,6.16072681038804,4.20396381324051,15.041413230234
"Sntg1",13.9309410378559,22.8511810710747,19.6196899528463,15.4415582893421,22.2323519959815,15.5935882495203,26.5048304657535,16.5813630181692,16.6110097339691,19.7627163393938,11.1588135824375,20.8040397188514,19.0513248271826,22.5242723685849,24.605137815879,16.7876322829162,16.5563349877415,20.8033205529699,12.8142941744687,16.8930591490748,17.0182740598587,22.4426476664136,27.3257647860633,15.6199291237045
"Rrs1",19.5033174529983,16.6190407789634,19.0894280622289,13.0288148066324,17.1795447241675,21.6448314508267,12.7954353972603,13.5665697421384,14.534633517223,16.568741981512,21.730321186852,14.8028744153366,19.0513248271826,13.7903708379091,19.6841102527032,12.5907242121871,15.1766404054297,15.5079298667594,10.9836807209731,19.3957345785673,15.8026830555831,17.6020766011087,14.7138733463418,16.1984450171751
"Adhfe1",13.4665763365941,17.6577308276487,18.5591661716114,17.3717530755099,16.3710955606773,16.0590684957747,15.537314410959,14.5715008341487,14.7941805443162,18.7645993525557,11.1588135824375,19.2037289712474,16.0745553229353,9.65325958653639,9.84205512635159,8.91842965029922,18.3959277641572,21.181562744842,16.4755210814597,10.6363705753434,15.3164466538728,15.8418689409978,14.7138733463418,23.7191516322921
"Vcpip1",84.5143756296593,94.5207944303546,76.8879741395329,66.5917201227878,98.2265733640637,97.0526313440295,74.9446930410962,87.429005004892,88.5055362388041,76.6553845891637,65.7782695385789,60.8118084089501,89.3030851274184,86.4196572508972,83.6574685739885,57.1828724636833,102.097399091073,96.8300011192779,104.344966849245,93.2246597485979,102.595880760863,86.2501753454325,107.201077237633,71.1574548968762
"1700034P13Rik",6.03674111640423,7.27083034079651,3.71183323432228,2.89529217925164,8.69082850752004,9.7750851713411,4.5697983561644,2.51232773002563,9.60324000245089,8.38418268943978,2.93652989011513,3.2006214952079,8.33495461189238,10.1129386144667,0,4.72152157957018,11.0375566584943,9.45605479680448,1.83061345349552,2.50267542949256,8.75225523078448,7.92093447049891,8.40792762648101,3.47109536082323
"Sgk3",27.39751737445,13.5029706329078,18.0289042809939,25.5750809167228,24.2534749047071,25.6014135439886,21.9350321095891,22.6109495702307,25.1760616280469,21.7589503130699,24.6668510769671,22.0042727795543,17.2652631246342,20.6855562568637,34.4471929422306,27.8045159685799,26.2141970639241,23.0727737042029,20.1367479884507,21.8984100080599,26.2567656923534,23.7628034114967,27.3257647860633,24.8761834192332
"Snhg6",12.5378469340703,6.23214029211129,4.24209512493974,5.79058435850328,17.3816570150401,16.7572888651562,2.74187901369864,2.51232773002563,16.0919156797826,15.1713781999387,5.87305978023026,3.2006214952079,14.8838475212364,11.4919756982576,4.9210275631758,6.8199756149347,16.0964367936376,17.3991408261202,9.15306726747761,3.75401314423884,13.8577374487421,18.9222323461918,4.20396381324051,2.31406357388215
"Cops5",72.9052580981127,48.8184322882051,52.4959271711293,68.0393662124136,75.7921090772097,76.5715005088386,47.5259029041098,71.8525730787331,70.3372443422754,78.8512419602075,65.7782695385789,81.6158481278015,77.9913610112787,53.3227672399153,83.6574685739885,60.8551670255712,56.1075796806796,69.9748054963532,42.104109430397,67.5722365962991,73.6648148591027,77.8891889599059,54.6515295721266,64.2152641752298
"Cspp1",11.6091175315466,13.5029706329078,22.2709994059337,15.4415582893421,12.5309620340987,10.9387857869769,10.9675160547946,16.078897472164,14.0155394630364,12.7758974315273,12.3334255384835,12.0023306070296,15.4792014220859,9.65325958653639,19.6841102527032,13.6399512298694,13.337047629014,12.8602345236541,12.8142941744687,15.0160525769554,11.4265554401908,9.24109021558206,18.9178371595823,20.2480562714689
"Arfgef1",41.7928231135678,36.3541517039825,31.8157134370481,32.8133113648519,30.9231805035015,29.5579956371505,42.0421448767125,31.1528638523178,35.8174897388709,27.7476522340983,35.2383586813816,27.2052827092672,27.386279439075,30.3388158434001,39.3682205054064,27.2799024597388,31.2730771990673,33.663555076624,38.442882523406,33.7861182981496,34.7659027222828,31.2436859669679,27.3257647860633,34.7109536082323
"Prex2",13.0022116353322,9.34821043816694,16.968380499759,14.9590095928001,14.1478603610791,13.9644073876301,14.6233547397261,14.0690352881435,13.4964454088499,15.5706249946739,10.5715076044145,18.4035735974454,14.2884936203869,10.572617642397,4.9210275631758,17.3122457917573,12.8771494349101,10.590781372421,18.3061345349552,13.1390460048359,13.1283828461767,12.3214536207761,18.9178371595823,12.1488337628813
"A830018L16Rik",5.57237641514237,10.3869004868522,6.36314268740962,4.8254869654194,4.24435810832374,8.37864443257808,9.13959671232881,4.52218991404614,3.11456432511921,7.38606570260171,5.87305978023026,10.0019421725247,4.16747730594619,5.97582736309396,0,6.8199756149347,5.9786765233511,6.05187506995487,3.66122690699104,15.6417214343285,7.53666422650886,6.60077872541576,8.40792762648101,13.3058655498224
"Ncoa2",10.216023427761,9.34821043816694,4.24209512493974,6.27313305504522,9.09505308926516,7.44768394006941,12.7954353972603,6.53205209806664,7.00776973151821,6.78719551049887,7.04767173627631,8.00155373801976,7.14424681019347,14.2500498658394,4.9210275631758,7.86920263261696,6.43857471745503,7.18660164557141,5.49184036048657,8.75936400322396,9.72472803420498,7.92093447049891,6.30594571986076,9.25625429552862
"Tram1",91.0154814473254,114.255905355374,69.4643076708883,61.2836844608264,94.7906644192302,75.4077998932028,62.1492576438359,67.3303831646869,93.1773827264829,98.4143349022337,93.9689564836842,90.8176349265242,77.9913610112787,102.968102256388,49.210275631758,85.5120019411043,96.5786207618255,102.881876189233,93.3612861282716,73.8289251700305,103.811471765138,105.612459606652,77.7733305449493,83.8848045532281
"Lactb2",9.28729402523728,7.27083034079651,11.1354997029668,9.16842523429687,8.48871621664748,11.6370061563585,7.31167736986305,8.54191428208715,14.2750864901297,14.3728846104682,9.98420162639144,9.60186448562371,14.2884936203869,9.65325958653639,4.9210275631758,6.8199756149347,13.7969458231179,13.9949610992706,3.66122690699104,9.3850328605971,11.4265554401908,13.2015574508315,6.30594571986076,15.041413230234
"Terf1",9.75165872649915,4.15476019474086,7.95392835926202,9.16842523429687,9.29716538013772,10.4733055407226,15.537314410959,10.0493109201025,10.641428110824,9.38229967627785,12.9207315165066,11.2021752332277,8.93030851274184,8.27422250274548,4.9210275631758,10.4922701768226,6.89847291155897,6.43011726182705,3.66122690699104,8.75936400322396,7.29354602565373,9.24109021558206,6.30594571986076,13.3058655498224
"Rpl7",700.726334204153,486.106942784681,671.311553521715,712.241876095904,750.847160591557,756.638140286427,609.611100712332,690.890125757049,702.074708287288,737.808076670701,644.861963869282,688.133621469699,755.504100177959,550.235796432574,629.891528086502,671.505291316647,659.494010345037,689.157273591111,464.975817187863,563.101971635826,661.038388125083,647.316367005772,533.903404281544,623.06161726777
"Ube2w",69.1903404880178,52.973192482946,67.3432601084184,73.8299505709169,67.3033928605622,82.8554838332722,73.1167736986305,83.409280636851,67.7417740713427,87.8342948417501,76.9370831210164,78.0151489456926,73.2285298044831,65.7341009940335,49.210275631758,105.447315277067,59.3268670394071,68.8400789207366,51.2571766978746,64.4438923094335,59.8070774103606,58.5269046986864,77.7733305449493,67.686359536053
"Eloc",291.156667691189,172.422548081746,412.013489009773,399.067772040185,279.319185985877,296.976397110268,354.616352438358,391.923125883999,279.532148179449,293.845640925128,417.574550374371,366.071083514404,301.844427730674,209.613636736219,310.024736480075,450.11839058569,297.554131585243,268.930198421119,377.106371420078,373.524307851765,278.856576380828,261.390837526464,336.31710505924,413.060347937965
"Tmem70",13.0022116353322,9.34821043816694,13.7868091560542,16.406655682426,13.743635779334,13.9644073876301,16.4512740821919,15.0739663801538,16.3514627068758,14.5725080078358,11.1588135824375,16.0031074760395,11.3117241161397,7.81454347481518,14.7630826895274,18.3614728094396,12.8771494349101,13.2384767155263,1.83061345349552,11.2620394327165,15.3164466538728,12.7615055358038,6.30594571986076,17.3554768041162
"Ly96",43.6502819186152,36.3541517039825,53.5564509523643,59.8360383712006,50.3259604272672,48.4099456104512,51.1817415890413,61.8032621586305,43.6039005516689,51.9020833155796,54.0321499781184,47.2091670543166,50.6050815722037,37.693680290285,54.1313031949337,58.7567129902067,45.5299212162892,37.8242191872179,25.6285883489373,48.8021708751049,42.5456851496468,43.565139587744,63.0594571986076,49.7523668384663
"Gm28376",26.9331526731881,9.34821043816694,23.3315231871686,30.8831165786842,31.1252927943741,26.9978542827516,23.7629514520549,25.1232773002563,31.4051902782853,29.3446394130392,21.730321186852,27.2052827092672,29.7676950424728,17.9274820892819,19.6841102527032,14.1645647387105,25.2944006757162,28.7464065822856,20.1367479884507,24.4010854375525,24.7980564872227,27.2832187317185,25.223782879443,20.8265721649394
"Gm28756",12.5378469340703,10.3869004868522,15.907856718524,17.3717530755099,11.7225128706084,13.0334468951215,8.22563704109593,18.0887596561845,12.7178043275701,14.971754802571,15.8572614066217,18.8036512843464,15.4792014220859,12.4113337541182,9.84205512635159,17.3122457917573,7.81826929976683,13.2384767155263,9.15306726747761,9.3850328605971,13.614619247887,7.48088255547119,16.815855252962,12.7273496563518
"Mcm3",15.7883998429034,12.4642805842226,13.7868091560542,17.8543017720518,15.5626463971871,17.2227691114105,8.22563704109593,10.0493109201025,16.8705567610624,19.5630929420262,11.7461195604605,14.8028744153366,17.8606170254837,15.6290869496304,29.5261653790548,16.7876322829162,13.337047629014,16.2644142505037,18.3061345349552,18.1443968638211,16.7751558590036,17.162024686081,12.6118914397215,12.1488337628813
"Tmem14a",6.96547051892796,2.07738009737043,10.0749759217319,13.5113635031743,6.87181788966701,8.61138455570525,10.9675160547946,12.5616386501282,6.48867567733168,8.18455929207217,8.22228369232236,8.80170911182173,4.16747730594619,4.13711125137274,14.7630826895274,13.6399512298694,5.9786765233511,6.05187506995487,7.32245381398209,9.3850328605971,8.75225523078448,4.40051915027717,14.7138733463418,13.8843814432929
"Kcnq5",11.6091175315466,8.30952038948172,17.4986423903764,13.0288148066324,15.7647586880596,17.920989480792,11.8814757260275,22.1084840242256,13.7559924359432,15.5706249946739,11.7461195604605,12.0023306070296,11.9070780169891,11.9516547261879,4.9210275631758,10.4922701768226,10.1177602702865,9.0778126049323,5.49184036048657,11.8877082900897,15.8026830555831,14.0816612808869,16.815855252962,19.0910244845278
"Ogfrl1",18.5745880504746,27.0059412658156,14.3170710466716,9.16842523429687,18.9985553420206,18.6192098501735,22.848991780822,13.0641041961333,17.1301037881556,18.3653525578205,10.5715076044145,18.0034959105445,13.097785818688,14.7097288937697,0,15.2137917563928,19.3157241523651,15.8861720586315,14.6449076279642,13.1390460048359,19.9356924701202,13.2015574508315,6.30594571986076,9.25625429552862
"Smap1",46.4364701261864,81.0178237974468,45.0722607024848,43.4293826887746,60.8357995526403,60.7451721361911,45.697983561644,46.7292957784768,43.8634475787622,55.0960576734614,45.222560307773,47.2091670543166,50.6050815722037,88.7180523905487,34.4471929422306,32.5260375481501,37.2517537224184,51.4409380946164,42.104109430397,29.4064362965376,48.86675837188,46.645502992938,27.3257647860633,48.5953350515252
"Sdhaf4",62.6892346703517,40.5089118987234,92.2655689674394,91.6842523429686,63.261147043111,62.1416128749541,83.1703300821922,98.4832470170048,59.1767221772649,61.4840063892251,85.1593668133388,79.2153820063956,64.2982212917412,56.5405204354274,73.8154134476369,113.841131418525,58.8669688453032,50.684453710872,62.2408574188478,68.1979054536723,56.646540799244,64.6876315090744,88.2832400780506,85.6203522336397
"Col19a1",37.1491761009491,22.8511810710747,3.18157134370481,3.86038957233552,27.2851592677955,26.9978542827516,4.5697983561644,4.52218991404614,37.1152248743372,32.5386137709211,5.87305978023026,6.80132067731679,26.1955716373761,18.3871611172122,0,3.67229456188792,41.8507356634577,20.0468361692255,3.66122690699104,3.75401314423884,30.1466569060354,26.403114901663,2.10198190662025,5.20664304123485
"Lmbrd1",50.6157524375432,40.5089118987234,39.2393799056926,52.1152592265296,52.7513079177379,57.0213301661564,42.0421448767125,37.6849159503845,53.466687581213,52.7005769050501,36.4129706374276,45.2087786198116,53.581851076451,32.1775319551213,9.84205512635159,41.9690807072905,43.6903284398735,40.8501567221954,29.2898152559284,36.2887937276421,48.86675837188,51.9261259732706,58.8554933853671,47.4383032645842
