"","sgCtu1-g1-R1-input","sgCtu1-g1-R1-polysome","sgCtu1-g1-R2-polysome","sgCtu1-g2-R1-input","sgCtu1-g2-R2-input","sgCtu1-g2-R1-polysome","sgCtu1-g2-R2-polysome","sgCtu2-g1-R1-input","sgCtu2-g1-R2-input","sgCtu2-g1-R1-polysome","sgCtu2-g1-R2-polysome","sgCtu2-g2-R1-input","sgCtu2-g2-R2-input","sgCtu2-g2-R2-polysome","sgScr-g1-R1-input","sgScr-g1-R2-input","sgScr-g1-R2-polysome","sgScr-g2-R1-input","sgScr-g2-R2-input","sgScr-g2-R2-polysome"
"Mrpl15",78.9678232446993,127.636067442478,140.312602240792,72.9175348631361,69.4974600481202,74.6077353809615,116.057798590621,92.0600357305809,86.3979108824374,105.819810049545,104.975383614617,93.6646113986142,73.2488788612678,99.8256142812977,69.9049814265491,56.3456500880291,125.493884305995,76.7522523656537,79.8213999564678,113.125043019215
"Lypla1",44.6544238586097,48.724141928249,59.454492474912,53.2155825463556,44.7923828881572,45.1330744897174,51.7487153888917,48.3705272482713,52.2777197487265,56.125424114676,67.8548107014637,46.2469018780657,41.0566964317934,65.6747462376959,37.7118978748488,38.4344500600464,38.709556353093,41.7293799269574,36.0063923716676,42.7104754256219
"Tcea1",37.6037253546187,83.1488074210336,109.871902093637,48.1377597842987,40.6363885995653,93.9504815908404,77.8742804395944,41.0889425012197,41.3033892671236,62.5564622944827,79.03089716994,60.2965935878579,51.7874239082849,68.3017360872037,41.8510086172103,39.1807500612123,98.0225862489613,43.2197149243487,36.0063923716676,72.1460733540911
"Atp6v1h",80.8480095124303,78.3823152758788,64.210851872905,88.9634547912356,85.4287714877225,59.8704049353395,68.3284009018376,91.5399225343629,93.3815757343665,74.833898819568,63.0650593578309,98.9332457897862,71.3826653870954,60.9461645085818,72.6643885881234,81.7198501276714,73.6730266074996,92.8975481707265,86.3285793007451,73.8775791145893
"Rb1cc1",19.2719092442421,19.0659685806192,17.598529772574,20.3112910482273,19.8564171566058,18.4216630570275,16.0772708004324,19.7643014562829,20.55192799282,25.1395128846986,20.7555891557418,23.4161528496535,26.5935420069571,18.9143269164564,22.0752572925944,16.0454500250679,26.2226026908049,19.8711332985511,19.955349989117,22.5095748864764
"St18",12.6912573071838,20.1251890573202,15.6959860133768,17.0614844805109,19.8564171566058,14.737330445622,21.1014179255675,15.0832826903212,14.3663962668256,14.031356028669,15.5666918668064,14.6350955310335,19.1286881102674,13.1349492475392,15.6366405822544,13.8065500215701,13.7356490285169,15.1517391401452,18.2201021639764,17.3150576049819
"Pcmtd1",13.1613038741166,16.4179173888665,18.0741657123732,13.6085650023123,11.3135400078335,21.1849125155817,14.5700266628918,16.3835656808661,11.9719968890213,13.4467161941411,23.1504648275582,16.9767108159988,17.7290280046381,21.5413167659642,14.716838195063,17.9112000279828,19.3547781765465,15.1517391401452,11.7129228196991,23.0867434733092
"Gm26901",6.58065193705828,4.23688190680426,9.98835473578522,6.90583895639729,16.3930885827792,3.68433261140551,11.0531236752973,3.38073577541681,6.78413157044543,7.60031784886238,7.58377296075182,8.78105731862008,3.73242694834486,8.40636751842507,11.0376286462972,12.6871000198211,6.86782451425843,16.8904633037685,6.07336738799212,15.006383257651
"Sntg1",14.101397007982,19.5955788189697,15.2203500735775,22.34242015305,15.4695342964254,26.7114114326899,16.5796855129459,16.6436222789751,19.7537948668852,11.1081568560296,20.7555891557418,18.7329222797228,22.8611150586123,16.8127350368501,16.5564429694458,20.5232500320636,16.8573874440889,17.3872416362322,22.1244097705427,15.5835518444837
"Rrs1",19.7419558111748,19.0659685806192,12.842170374581,17.2645973909932,21.4726371577248,12.8951641399193,13.5651972378648,14.5631694941032,16.5612623631462,21.6316738775314,14.7683999762009,18.7329222797228,13.9966010562932,12.6095512776376,15.1767393886587,15.299150023902,19.3547781765465,16.1452958050728,17.352478251406,16.1607204313164
"Adhfe1",13.6313504410493,18.5363583422686,17.1228938327747,16.4521457490641,15.9313114396023,15.6584135984734,14.5700266628918,14.8232260922122,18.7561284594668,11.1081568560296,19.1590053745309,15.8059031735161,9.79762073940525,8.93176548832664,18.3960477438287,20.8964000326466,10.6139106129449,15.648517472609,15.6172304262654,23.6639120601419
"Vcpip1",85.5484751817576,76.7934845608272,65.6377596923029,98.7128744943847,96.2805343523791,75.5288185338129,87.4201599773511,88.6792999551641,76.6207800897366,65.479661467122,60.6701836860146,87.8105731862008,87.7120332861042,57.2683787192708,102.098064978249,95.5264001492415,93.0278047840461,104.820228149857,85.0271434318896,70.9917361804256
"1700034P13Rik",6.11060537012554,3.70727166845373,2.85381563879578,8.73385515073774,9.69732000671445,4.60541576425688,2.51207356256756,9.62209413003247,8.38039782231494,2.92319917263938,3.19316756242182,8.19565349737874,10.2641741079484,4.7285817291141,11.0376286462972,9.32875001457436,2.49739073245761,8.94200998434801,7.80861521313272,3.46301152099637
"Sgk3",27.7327474490313,18.0067481039181,25.2087048093627,24.3735492578728,25.3977428747283,22.105995668433,22.608662063108,25.2254900165716,21.7491276817221,24.5548730501708,21.95302699165,16.9767108159988,20.9949015844398,27.846092404783,26.2143680349559,22.7621500355614,21.8521689090041,26.826029953044,23.4258456393982,24.8182492338073
"Snhg6",12.6912573071838,4.23688190680426,5.70763127759155,17.4677103014755,16.6239771543676,2.76324945855413,2.51207356256756,16.1235090827571,15.1645293927604,5.84639834527875,3.19316756242182,14.6350955310335,11.6638342135777,6.83017360872037,16.0965417758501,17.1649000268168,3.74608609868642,14.1581824752177,18.6539141202615,2.30867434733092
"Cops5",73.7973110084393,52.4314135967027,67.0646675117007,76.1673414308524,75.9623400525965,47.8963239482716,71.8453038894322,70.4753380875351,78.8156461860572,65.479661467122,81.4257728417564,76.6879005826153,54.1201907510005,60.9461645085818,56.1079456186775,69.0327501078503,67.4295497763555,75.2619173682624,76.7847162624718,64.0657131384329
"Cspp1",11.7511641733184,22.2436300107224,15.2203500735775,12.5930004499009,10.8517628646566,11.0529978342165,16.0772708004324,14.0430562978852,12.7701300149561,12.2774365250854,11.9743783590818,15.2204993522748,9.79762073940525,13.6603472174407,13.3371346142758,12.6871000198211,14.9843443947457,11.6742908128988,9.11005108198818,20.2009005391455
"Arfgef1",42.3041910239461,31.776614301032,32.3432439063521,31.0762753037878,29.3228485917318,42.3698250311633,31.1497121758377,35.88781053904,27.7351261262328,35.0783900716725,27.1419242805855,26.9285757771016,30.7925223238451,27.3206944348815,31.2732811645088,33.2103500518847,33.7147748881778,35.5196507711601,30.8006488962457,34.6301152099637
"Prex2",13.1613038741166,16.947527627217,14.7447141337782,14.2179037337591,13.8533142953064,14.737330445622,14.0676119503783,13.5229431016673,15.5635959557277,10.5235170215018,18.3607134839255,14.0496917097921,10.7307274764915,17.3381330067517,12.8772334206801,10.4482000163233,13.1113013454025,13.413014976522,12.1467347759842,12.1205403234873
"A830018L16Rik",5.64055880319281,6.35532286020639,4.75635939799296,4.26537112012774,8.31198857718381,9.21083152851376,4.52173241262161,3.12067917730783,7.38273141489649,5.84639834527875,9.97864863256819,4.09782674868937,6.06519379106039,6.83017360872037,5.97871551674433,5.97040000932759,15.6086920778601,7.70006415318856,6.50717934427727,13.2748774971528
"Ncoa2",10.3410244725202,4.23688190680426,6.18326721739085,9.14008097170229,7.38843429083005,12.8951641399193,6.53139126267566,7.02152814894261,6.78413157044543,7.0156780143345,7.98291890605455,7.02484585489606,14.4631544248363,7.8809695485235,6.43861671034004,7.08985001107652,8.74086756360164,9.93556664927556,7.80861521313272,9.23469738932366
"Tram1",92.1291271188159,69.3789412239198,60.4057643545106,95.2599550161861,74.8078971946543,62.6336543938936,67.3235714768106,93.3603187211258,98.3699077714587,93.5423735244601,90.6061295837191,76.6879005826153,104.507954553656,85.6398690939554,96.5792506551007,101.496800158569,73.6730266074996,106.062173981017,104.114869508436,83.6894450907457
"Lactb2",9.40093133865468,11.1218150053612,9.03708285618662,8.53074224025547,11.544428579422,7.36866522281101,8.5410501127297,14.3031128959942,14.3663962668256,9.93887718697388,9.57950268726546,14.0496917097921,9.79762073940525,6.83017360872037,13.7970358078715,13.8065500215701,9.36521524671605,11.6742908128988,13.0143586885545,15.006383257651
"Terf1",9.87097790558741,7.94415357525799,9.03708285618662,9.34319388218456,10.3899857214798,15.6584135984734,10.0482942502702,10.6623205224684,9.37806422973338,12.8620763596133,11.1760864684764,8.78105731862008,8.39796063377593,10.5079593980313,6.89851790393576,6.34355000991057,8.74086756360164,7.45167498695667,9.11005108198818,13.2748774971528
"Rpl7",709.300269501496,670.486561751774,702.038647143761,754.564462441645,750.618746234016,614.362462951868,690.820229706079,703.453097884806,737.475008363715,641.934538311607,686.531025920691,742.877449155259,558.464382146099,672.509401474006,659.498311616259,679.879301062179,561.912914802963,675.370142984506,638.137387695458,621.610568018849
"Ube2w",70.0369384729774,67.2605002705176,72.7722987892923,67.636599190597,82.1963314854844,73.6866522281101,83.400842277243,67.8747721064452,87.7946438528232,76.5878183231517,77.8334593340319,72.0046700126846,66.7171317016643,105.604991950215,59.3272539738476,67.9133001061014,64.3078113607835,61.1037348930447,57.6969901859251,67.5287246594293
"Eloc",294.719197466824,411.507155198364,393.350922214018,280.702042286501,294.613817346848,357.380263306334,391.883475760539,280.080956163377,293.71299034399,415.678922349319,365.218539951996,296.799737369359,212.748336055657,450.791458175544,297.556072256429,265.309650414495,372.735566819299,284.902373667977,257.68430203338,412.098370998568
"Tmem70",13.1613038741166,13.7698661971138,16.1716219531761,13.8116779127946,13.8533142953064,16.5794967513248,15.0724413754054,16.3835656808661,14.5659295483093,11.1081568560296,15.9658378121091,11.1226726035854,7.93140726523282,18.3889289465548,12.8772334206801,13.0602500204041,11.2382582960593,15.648517472609,12.5805467322694,17.3150576049819
"Ly96",44.184377291677,53.4906340734038,58.9788565351127,50.575114710086,48.0248228903953,51.5806565596771,61.797009639162,43.6895084823096,51.8786531857591,53.7868647765645,47.0992215457218,49.7593248055138,38.2573762205348,58.8445726289755,45.530218165976,37.3150000582974,48.6991192829234,43.4681040905806,42.94738367223,49.6364984676147
"Gm28376",27.2627008820986,23.3028504874234,30.4407001471549,31.2793882142701,26.7830743042589,23.9481619741358,25.1207356256756,31.4668483711873,29.3313923781023,21.6316738775314,27.1419242805855,29.2701910620669,18.1955813731812,14.1857451873423,25.2945656477645,28.3594000443061,24.3495596414617,25.3356949556527,26.8963412896794,20.7780691259782
"Gm28756",12.6912573071838,15.888307150516,17.1228938327747,11.7805488079718,12.9297600089526,8.28974837566239,18.0869296504864,12.7427733073403,14.9649961112767,15.7852755322526,18.7598594292282,15.2204993522748,12.5969409506639,17.3381330067517,7.8183202911272,13.0602500204041,9.36521524671605,13.9097933089858,7.37480325684757,12.69770891032
"Mcm3",15.981583275713,13.7698661971138,17.598529772574,15.639694107135,17.0857542975445,8.28974837566239,10.0482942502702,16.9036788770841,19.5542615854015,11.6927966905575,14.7683999762009,17.5621146372402,15.8628145304656,16.8127350368501,13.3371346142758,16.0454500250679,18.1060828103177,17.1388524700003,16.9186662951209,12.1205403234873
"Tmem14a",7.05069850399101,10.0625945286601,13.3178063143803,6.90583895639729,8.54287714877225,11.0529978342165,12.5603678128378,6.50141495272464,8.18086454083125,8.18495768339026,8.78121079666001,4.09782674868937,4.19898031688797,13.6603472174407,5.97871551674433,5.97040000932759,9.36521524671605,8.94200998434801,4.33811956285151,13.8520460839855
"Kcnq5",11.7511641733184,17.4771378655676,12.842170374581,15.8428070176173,17.7784200123098,11.9740809870679,22.1062473505945,13.7829996997762,15.5635959557277,11.6927966905575,11.9743783590818,11.7080764248268,12.1303875821208,10.5079593980313,10.1178262591058,8.95560001399139,11.8626059791737,16.1452958050728,13.8819826011248,19.0465633654801
"Ogfrl1",18.8018626773094,14.2994764354644,9.03708285618662,19.0926135853337,18.4710857270751,23.0270788212844,13.0627825253513,17.163735475193,18.3570618964994,10.5235170215018,17.9615675386227,12.8788840673094,14.9297077933794,15.2365411271454,19.3158501310201,15.6723000244849,13.1113013454025,20.3679116310149,13.0143586885545,9.23469738932366
"Smap1",47.0046566932734,45.0168702597953,42.8072345819366,61.1369860551642,60.2619171845826,46.0541576425688,46.7245682637566,43.9495650804186,55.0711856894982,45.0172672586464,47.0992215457218,49.7593248055138,90.0448001288197,32.5746741338971,37.2519966812531,50.7484000792845,29.3443411063769,49.9262224126097,45.984067366226,48.4821612939492
"Sdhaf4",63.4562865359191,92.1521814729927,90.3708285618662,63.5743409809515,61.6472486141133,83.8185669094753,98.4732836526483,59.2929043688487,61.4562506969762,84.7727760065419,79.03089716994,63.2236126940646,57.3860643308022,114.01135946864,58.8673527802518,50.0021000781186,68.0538974594699,57.8746757320302,63.7703575739172,85.4209508512439
"Col19a1",37.6037253546187,3.1776614301032,3.80508751839437,27.4202429151069,26.7830743042589,4.60541576425688,4.52173241262161,37.1880935295849,32.5239248818413,5.84639834527875,6.78548107014637,25.7577681346189,18.6621347417243,3.67778578931097,41.8510086172103,19.7769500308976,3.74608609868642,30.8002566127542,26.0287173771091,5.19451728149456
"Lmbrd1",51.235075795668,39.1911576379394,51.368681498324,53.0124696358733,56.5677000391676,42.3698250311633,37.6811034385134,53.571659210451,52.6767863116939,36.2476697407283,45.1034918192082,52.6863439117205,32.6587357980175,42.0318375921253,43.6906133915932,40.3002000629612,36.2121656206354,49.9262224126097,51.1898108416478,47.3278241202838
"Phf3",19.7419558111748,16.4179173888665,19.5010735317711,18.0770490329223,17.0857542975445,16.5794967513248,20.599003213054,17.683848671411,14.9649961112767,18.1238348703641,15.1675459215036,16.3913069947575,18.1955813731812,17.8635309766533,16.5564429694458,17.1649000268168,22.4765165921185,22.6034141271019,21.2567858579724,18.4693947786473
"4931428L18Rik",47.0046566932734,48.1945316898985,41.855962702338,46.7159694109228,45.0232714597456,47.8963239482716,43.7100799886755,49.6708102388162,46.8903211486669,45.6019070931743,52.2881188346573,46.8323056993071,37.3242694834486,46.7604193212394,49.2094277147418,40.3002000629612,40.5825994024362,45.9519957528995,49.8883749727924,38.0931267309601
"Khdrbs2",60.16596056739,70.9677719389714,58.5032205953134,56.0591632931074,49.1792657483375,71.8444859224074,65.3139126267566,56.9523949858678,68.2403822674217,66.6489411361778,65.4599350296473,60.8819974090992,59.7188311735177,43.60803150183,43.6906133915932,49.6289500775356,56.1912914802963,46.6971632515951,58.9984260547806,59.4483644437711
"Zfp451",10.8110710394529,13.7698661971138,13.7934422541796,14.0147908232768,15.4695342964254,15.6584135984734,15.5748560879189,13.0028299054493,12.7701300149561,19.2931145394199,9.97864863256819,12.2934802460681,20.0617948473536,10.5079593980313,9.65792506551007,16.4186000256509,14.9843443947457,12.9162366440582,15.1834184699803,13.8520460839855
"Dst",26.7926543151658,20.1251890573202,17.1228938327747,16.4521457490641,20.0873057281942,15.6584135984734,22.608662063108,19.7643014562829,20.55192799282,19.2931145394199,19.1590053745309,14.0496917097921,16.7959212675519,15.2365411271454,19.7757513246159,25.0010500390593,23.1008642752329,16.6420741375366,18.2201021639764,16.7378890181491
"Ccdc115",19.7419558111748,22.2436300107224,22.8305251103662,17.6708232119578,21.7035257293133,21.1849125155817,19.594173788027,21.0645844468278,23.744460496559,23.385593381115,23.9487567181637,18.1475184584815,12.5969409506639,29.9476842843893,16.0965417758501,18.2843500285658,23.1008642752329,13.6614041427539,19.5215380328318,25.9725864074728
"Imp4",30.5530268506277,36.0134962078362,39.0021470635423,42.2474853803128,36.0186171677965,29.474660891244,34.1642004509188,42.3892254917646,43.8973219264116,46.77118676223,45.5026377645109,35.1242292744803,32.6587357980175,47.285817291141,32.6529847452959,29.852000046638,33.0904272050634,35.2712616049282,36.8740162842379,35.7844523836292
"Ptpn18",16.9216764095784,26.4805119175266,32.8188798461514,19.0926135853337,24.2433000167861,21.1849125155817,31.1497121758377,20.2844146525009,17.1598622075973,19.8777543739478,28.3393621164937,18.7329222797228,21.928008321526,32.5746741338971,23.4549608733816,19.4038000303147,39.9582517193218,23.1001924595657,24.7272815082536,34.052946623131
"Arhgef4",10.8110710394529,10.0625945286601,11.8908984949824,8.93696806122002,8.77376572036069,4.60541576425688,8.03863540021619,14.5631694941032,10.5752639186355,8.76959751791813,8.78121079666001,8.78105731862008,12.1303875821208,8.40636751842507,11.4975298398929,7.46300001165949,6.86782451425843,10.9291233142031,10.8452989071288,4.0401801078291
"Fam168b",30.5530268506277,16.947527627217,20.4523454113697,27.2171300046246,27.0139628758474,25.7903282798385,24.6183209131621,25.7456032127896,21.150527837271,19.8777543739478,20.3564432104391,21.0745375646882,27.0600953755002,25.2191025552752,26.6742692285516,23.5084500367274,25.5982550076905,22.6034141271019,29.4992130273903,31.7442722758001
"Plekhb2",116.571548599318,100.096335048251,96.5540957792571,110.493423302357,107.132297217036,107.766728883611,118.569872153189,97.5212242908696,109.344238253062,111.081568560296,112.958302520672,79.0295158675807,77.9144125466989,106.130389920116,93.3599422999307,97.7653001527393,100.519976981419,105.317006482321,96.7400662515887,111.393537258717
"Hs6st1",6.11060537012554,7.41454333690746,6.18326721739085,7.10895186687956,6.4648800044763,11.9740809870679,10.0482942502702,8.06175454137855,8.38039782231494,9.93887718697388,11.1760864684764,8.19565349737874,10.7307274764915,7.35557157862194,5.97871551674433,9.70190001515734,13.1113013454025,7.20328582072478,8.67623912570302,11.5433717366546
