"","sgCtu1_input","sgCtu1_polysome","sgCtu2_input","sgCtu2_polysome","sgCtu1_TE","sgCtu2_TE"
"Lypla1",0.289484564850575,0.356073968534619,0.47421217097912,0.330548869555427,0.066589403684044,-0.143663301423693
"Atp6v1h",0.186572073118968,0.0442248314868312,0.233720493313808,0.178835491617633,-0.142347241632137,-0.0548850016961753
"Vcpip1",-0.194713236155132,-0.13161698683862,-0.469589642462088,-0.392797842160885,0.0630962493165121,0.0767918003012031
"Rpl7",0.147523099066005,0.272222153059165,0.148262478276093,0.141574335713869,0.12469905399316,-0.00668814256222383
"Ube2w",0.251299666194031,0.477662004090575,0.256486638943609,0.472693689324195,0.226362337896544,0.216207050380586
"Dst",-0.0777632481038957,-0.130923806403737,-0.0784171351396425,-0.609489744781578,-0.0531605582998411,-0.531072609641936
"Imp4",0.178263106842629,0.219091567318585,0.412216776442677,0.373292669753358,0.0408284604759555,-0.0389241066893193
"Uggt1",-0.369854633438536,-0.248238043831173,-0.431096791366798,-0.261756809910849,0.121616589607363,0.169339981455948
"Arid5a",0.0723985866370365,-0.132922413286055,-0.311600229948922,-0.350738082062641,-0.205320999923092,-0.0391378521137193
"Mitd1",-0.127210307740552,-0.283191034646046,-0.209782177462827,-0.335476803872506,-0.155980726905494,-0.125694626409679
"Mrpl30",0.0970742682709229,0.213218377506235,0.227750168159978,0.205687379736614,0.116144109235312,-0.022062788423364
"Eif5b",-0.136738558296576,-0.272050294547139,-0.18499269334326,-0.408328728281542,-0.135311736250562,-0.223336034938282
"Pdcl3",0.248768404069074,0.232102764278473,0.259059275652502,0.191728778372334,-0.0166656397906015,-0.0673304972801683
"Il1r2",0.476764585547898,0.282741343777305,0.58292957070246,0.519619644724834,-0.194023241770593,-0.0633099259776264
"Ormdl1",0.360487907503102,0.463213374735295,0.381547305685121,0.547593585605374,0.102725467232192,0.166046279920253
"Sf3b1",-0.0695967967206412,-0.0746969265244166,-0.0718157571762905,-0.241480954658272,-0.00510012980377539,-0.169665197481981
"Clk1",0.235941757001318,0.466352193570495,0.281921465078963,0.0978068995710197,0.230410436569177,-0.184114565507944
"Cflar",-0.0308248185358462,0.112865770051755,-0.219176945459662,-0.243356763878403,0.143690588587601,-0.024179818418741
"Sumo1",0.199965276794722,0.320987960973715,0.211163196636996,0.324767320623821,0.121022684178993,0.113604123986825
"Nop58",0.0387906549087775,-0.0434941727198392,-0.0228092506282227,-0.366529799346733,-0.0822848276286168,-0.34372054871851
"Bmpr2",-0.202751378051143,-0.183232760028907,-0.412051579825933,-0.104111142471141,0.0195186180222366,0.307940437354792
"Ctla4",0.0802698532222088,0.321685371023794,0.06998933001171,0.254466932201663,0.241415517801586,0.184477602189953
"Mettl21a",0.218689537991636,0.0213516920957124,0.408512133164109,0.0299036430357598,-0.197337845895924,-0.378608490128349
"Plekhm3",-0.202681642589106,-0.346194614932481,0.000438311030236171,-0.535541750321189,-0.143512972343375,-0.535980061351426
"Fn1",-0.0571745413766767,-0.148921841457035,-0.382038494356258,-0.336939497440944,-0.0917473000803586,0.0450989969153142
"Mreg",0.228942032874649,0.125683461981465,0.157572444960477,0.632713009553814,-0.103258570893184,0.475140564593337
"Mrpl44",0.194973121614813,0.231605765848481,0.442539016418808,0.289903148717456,0.0366326442336673,-0.152635867701352
"Dock10",-0.136780684091155,-0.359509066680836,-0.218372328640545,-0.290717013420339,-0.222728382589681,-0.0723446847797939
"Sp110",-0.0236194555156839,-0.279181187403044,-0.27270182389945,-0.281017760524194,-0.25556173188736,-0.0083159366247445
"Sp140",-0.0968357588654989,-0.0755931427746876,-0.370470346793593,-0.525544784927478,0.0212426160908112,-0.155074438133885
"Eif4e2",0.244074307755898,0.284341134073332,0.232323984268301,0.365720391547825,0.0402668263174331,0.133396407279524
"Inpp5d",-0.234751864562191,-0.281468379216509,-0.0928808662234353,-0.496313727323865,-0.0467165146543183,-0.40343286110043
"Lrrfip1",0.0166172374901477,-0.123113294496564,0.0209090081458942,-0.271904626927896,-0.139730531986712,-0.29281363507379
"Ppp1r7",0.155234330944305,0.17106353502058,0.272441907831849,0.0946620481207914,0.0158292040762751,-0.177779859711058
"Hdlbp",-0.0533173162589735,-0.192101823986127,-0.107502012485513,-0.244947271603449,-0.138784507727153,-0.137445259117936
