"","sgCtu1_input","sgCtu1_polysome","sgCtu2_input","sgCtu2_polysome","sgCtu1_TE","sgCtu2_TE"
"Lypla1",0.289484564850575,0.356073968534619,0.47421217097912,0.330548869555427,0.066589403684044,-0.143663301423693
"Rpl7",0.147523099066005,0.272222153059165,0.148262478276093,0.141574335713869,0.12469905399316,-0.00668814256222383
"Eif5b",-0.136738558296576,-0.272050294547139,-0.18499269334326,-0.408328728281542,-0.135311736250562,-0.223336034938282
"Il1r2",0.476764585547898,0.282741343777305,0.58292957070246,0.519619644724834,-0.194023241770593,-0.0633099259776264
"Sp140",-0.0968357588654989,-0.0755931427746876,-0.370470346793593,-0.525544784927478,0.0212426160908112,-0.155074438133885
"Rgs1",0.159935949516107,0.4700847534637,0.192809231120188,0.323404431289665,0.310148803947593,0.130595200169477
"Prdx6",0.186735335141186,0.348177344262229,0.202252524787923,0.264407283291915,0.161442009121043,0.0621547585039917
"Copa",-0.226474840889868,-0.114942313396615,-0.323832175927366,-0.235290616151504,0.111532527493253,0.0885415597758623
"Tagln2",0.188193855076578,0.328289656578077,0.207132509696764,0.268677539201633,0.140095801501499,0.0615450295048685
"Ifi206",-0.106839177076279,-0.0380348419717587,-0.571783870694682,-0.693672005273706,0.0688043351045202,-0.121888134579025
"Ifi213",-0.0843495076038403,0.0656598622063829,-0.478147086383118,-0.323176647631719,0.150009369810223,0.154970438751399
"Ifi209",0.122547559900695,-0.00708345373816766,-0.323518053908679,-0.55926141031275,-0.129631013638862,-0.235743356404071
"Ifi208",-0.171255740053396,0.217413810763608,-0.729800795549457,-0.458711347838161,0.388669550817004,0.271089447711296
"Mndal",-0.0949649017547385,-0.095644654579023,-0.560353538432601,-0.495677219310354,-0.000679752824284563,0.0646763191222472
"Ifi203",-0.19407862629088,-0.291318618742174,-0.525011561247417,-0.686118275273879,-0.0972399924512946,-0.161106714026462
"Ifi205",0.121809837952238,-0.0123335064880381,-0.510122745306373,-0.692302187648874,-0.134143344440276,-0.182179442342501
"Atp5c1",0.21981532373669,0.395450237753076,0.284289842061499,0.285331357085594,0.175634914016387,0.00104151502409522
"Il15ra",-0.183587152700085,0.0680071692483697,-0.826795715647527,-0.305913880642629,0.251594321948454,0.520881835004897
"Mrc1",-0.267097002921302,-0.481978055903681,-0.300701873593878,-0.567324052521569,-0.214881052982379,-0.26662217892769
"Hspa5",-0.229013057312994,-0.305291966107808,-0.356987308072435,-0.620264272660725,-0.0762789087948139,-0.26327696458829
