"","Cluster","gene","old_cluster"
"Maf1","1","Maf1"," 9"
"Rhog","1","Rhog"," 9"
"Golga7","1","Golga7"," 9"
"Cav2","1","Cav2"," 9"
"Tmem154","1","Tmem154"," 9"
"Ier3","1","Ier3"," 9"
"Med8","1","Med8"," 9"
"Atf4","1","Atf4"," 9"
"Cxcl16","1","Cxcl16"," 9"
"Cd68","1","Cd68"," 9"
"Glmp","1","Glmp"," 9"
"Zfp706","1","Zfp706"," 9"
"Rac2","1","Rac2"," 9"
"Gm2a","1","Gm2a"," 9"
"Ppp2r5c","1","Ppp2r5c"," 9"
"Heph","1","Heph"," 9"
"Pmp22","1","Pmp22"," 9"
"Rgs1","1","Rgs1"," 9"
"Dazap2","1","Dazap2"," 9"
"Id2","1","Id2"," 9"
"Arf1","1","Arf1"," 9"
"Lamtor3","1","Lamtor3"," 9"
"Nubp1","1","Nubp1"," 9"
"Ly6i","1","Ly6i"," 9"
"Ssr4","1","Ssr4"," 9"
"Arhgdib","1","Arhgdib"," 9"
"Myl12b","1","Myl12b"," 9"
"Atp5c1","1","Atp5c1"," 9"
"Prdx6","1","Prdx6"," 9"
"Tagln2","1","Tagln2"," 9"
"Bcl2a1a","1","Bcl2a1a"," 9"
"1810058I24Rik","1","1810058I24Rik"," 9"
"Ube2d3","1","Ube2d3"," 9"
"Ly6e","1","Ly6e"," 9"
"Rpl28","1","Rpl28"," 9"
"Dynlrb1","1","Dynlrb1"," 9"
"Slc31a2","1","Slc31a2"," 9"
"Fkbp1a","1","Fkbp1a"," 9"
"Ifitm1","1","Ifitm1","10"
"Ccl17","1","Ccl17","10"
"H2-DMb2","1","H2-DMb2","10"
"2410002F23Rik","1","2410002F23Rik","10"
"Socs2","1","Socs2","10"
"Csta2","1","Csta2","10"
"Car4","1","Car4","10"
"Cd200r4","1","Cd200r4","10"
"Gpr171","1","Gpr171","10"
"Nit2","1","Nit2","10"
"0610009B22Rik","1","0610009B22Rik","10"
"Plet1","1","Plet1","10"
"Nipsnap3b","1","Nipsnap3b","10"
"Ccl22","1","Ccl22","10"
"Cytip","1","Cytip","10"
"Myl12a","1","Myl12a","10"
"Sumo2","1","Sumo2","10"
"H2-DMb1","1","H2-DMb1","10"
"Rps11","1","Rps11","10"
"Cd74","1","Cd74","10"
"H2-Aa","1","H2-Aa","10"
"Tecr","1","Tecr","10"
"U90926","2","U90926"," 3"
"Rsad2","2","Rsad2"," 3"
"Cmpk2","2","Cmpk2"," 3"
"Ddx60","2","Ddx60"," 3"
"Mndal","2","Mndal"," 3"
"Ifi206","2","Ifi206"," 3"
"Trim30c","2","Trim30c"," 3"
"Gm4951","2","Gm4951"," 3"
"Maml2","2","Maml2"," 3"
"Cxcl10","2","Cxcl10"," 4"
"Sap30","2","Sap30"," 4"
"Fam102b","2","Fam102b"," 4"
"Peli1","2","Peli1"," 4"
"Ifi213","2","Ifi213"," 4"
"Slc25a37","2","Slc25a37"," 4"
"Copa","2","Copa"," 4"
"Tmem67","2","Tmem67"," 4"
"Zup1","2","Zup1"," 4"
"Slfn4","2","Slfn4"," 4"
"Flrt2","2","Flrt2"," 4"
"Mertk","2","Mertk"," 4"
"Gadd45b","2","Gadd45b"," 4"
"Mtus1","2","Mtus1"," 4"
"Sash1","2","Sash1"," 4"
"Htra4","2","Htra4"," 4"
"Nlrc5","2","Nlrc5"," 4"
"Gm12185","2","Gm12185"," 5"
"Il15ra","2","Il15ra"," 5"
"Ifi208","2","Ifi208"," 5"
"Slfn9","2","Slfn9"," 5"
"Serpine1","2","Serpine1"," 5"
"Ifi209","3","Ifi209"," 1"
"Ifi205","3","Ifi205"," 1"
"Rsbn1l","3","Rsbn1l"," 1"
"Veph1","3","Veph1"," 1"
"Slfn3","3","Slfn3"," 1"
"Elane","3","Elane"," 1"
"Ccl7","3","Ccl7"," 2"
"Ifnb1","3","Ifnb1"," 2"
"Sp140","3","Sp140"," 2"
"Ccl12","3","Ccl12"," 2"
"Tbc1d9","3","Tbc1d9"," 2"
"Ifit2","3","Ifit2"," 2"
"Ifit1","3","Ifit1"," 2"
"Trim25","3","Trim25"," 2"
"Ptx3","3","Ptx3"," 2"
"Cltc","3","Cltc"," 2"
"Dync1i2","3","Dync1i2"," 2"
"Eif5b","3","Eif5b"," 2"
"Myof","3","Myof"," 2"
"Pdia6","3","Pdia6"," 2"
"Fam111a","3","Fam111a"," 2"
"Ahnak","3","Ahnak"," 2"
"Fabp4","3","Fabp4"," 2"
"Hspa5","3","Hspa5"," 2"
"Camp","3","Camp"," 2"
"Mrc1","3","Mrc1"," 2"
"Ifi203","3","Ifi203"," 2"
"Hk2","3","Hk2"," 2"
"Asns","4","Asns"," 6"
"BC035044","4","BC035044"," 6"
"Ccr7","4","Ccr7"," 6"
"Cd69","4","Cd69"," 7"
"Clec4e","4","Clec4e"," 7"
"Bcl2a1d","4","Bcl2a1d"," 7"
"Bcl2a1b","4","Bcl2a1b"," 7"
"Rpl7","4","Rpl7"," 7"
"Cxcl3","4","Cxcl3"," 7"
"Dcstamp","4","Dcstamp"," 7"
"Rpl3","4","Rpl3"," 7"
"Gba","4","Gba"," 7"
"Napsa","4","Napsa"," 7"
"Psmb2","4","Psmb2"," 7"
"Pkm","4","Pkm"," 7"
"Pfdn4","4","Pfdn4"," 7"
"mt-Atp6","4","mt-Atp6"," 7"
"Ap1m1","4","Ap1m1"," 7"
"Eci2","4","Eci2"," 7"
"Tango2","4","Tango2"," 7"
"Nsmce1","4","Nsmce1"," 7"
"Fen1","4","Fen1"," 7"
"Egr2","4","Egr2"," 7"
"Arhgap25","4","Arhgap25"," 7"
"Tnfrsf9","4","Tnfrsf9"," 8"
"F2rl2","4","F2rl2"," 8"
"Mgl2","4","Mgl2"," 8"
"Mthfd2","4","Mthfd2"," 8"
"Cstdc4","4","Cstdc4"," 8"
"Car2","4","Car2"," 8"
"Il1r2","4","Il1r2"," 8"
"Scimp","4","Scimp"," 8"
"Timm17b","4","Timm17b"," 8"
"Lypla1","4","Lypla1"," 8"
