"","Cluster","gene","old_cluster","sgCtu1_input","sgCtu1_polysome","sgCtu2_input","sgCtu2_polysome","sgCtu1_TE","sgCtu2_TE"
"1","1","Maf1"," 9"," 0.139299598"," 0.331241409","-0.00842713"," 0.87561769"," 0.1919418107"," 0.884044819"
"2","1","Rhog"," 9","-0.029849766"," 0.259067854"," 0.03202380"," 0.58844505"," 0.2889176197"," 0.556421248"
"3","1","Golga7"," 9"," 0.224545279"," 0.483455488"," 0.21482465"," 0.61161249"," 0.2589102088"," 0.396787842"
"4","1","Cav2"," 9"," 0.083593092"," 0.484320801"," 0.22808936"," 0.59722261"," 0.4007277091"," 0.369133241"
"5","1","Tmem154"," 9"," 0.137611876"," 0.346264518"," 0.29827055"," 0.65488396"," 0.2086526424"," 0.356613408"
"6","1","Ier3"," 9"," 0.029024603"," 0.268998321"," 0.22615386"," 0.57028578"," 0.2399737181"," 0.344131917"
"7","1","Med8"," 9"," 0.136285625"," 0.278604331"," 0.24789209"," 0.52053524"," 0.1423187059"," 0.272643146"
"8","1","Atf4"," 9"," 0.147998167"," 0.373132265"," 0.19484680"," 0.53074207"," 0.2251340976"," 0.335895263"
"9","1","Cxcl16"," 9"," 0.217527174"," 0.420200340"," 0.18411107"," 0.46524031"," 0.2026731660"," 0.281129237"
"10","1","Cd68"," 9"," 0.148220893"," 0.415345572"," 0.30750281"," 0.50917730"," 0.2671246794"," 0.201674485"
"11","1","Glmp"," 9"," 0.150516968"," 0.368690465"," 0.26479875"," 0.48521054"," 0.2181734972"," 0.220411791"
"12","1","Zfp706"," 9"," 0.097651660"," 0.377805046"," 0.21312394"," 0.48848414"," 0.2801533866"," 0.275360202"
"13","1","Rac2"," 9"," 0.117400328"," 0.410659639"," 0.22823527"," 0.44644219"," 0.2932593108"," 0.218206929"
"14","1","Gm2a"," 9"," 0.140983263"," 0.425767249"," 0.14276709"," 0.38888736"," 0.2847839863"," 0.246120267"
"15","1","Ppp2r5c"," 9"," 0.096743724"," 0.351349319"," 0.14215571"," 0.42579304"," 0.2546055951"," 0.283637323"
"16","1","Heph"," 9"," 0.231000682"," 0.359655829"," 0.13484723"," 0.40717856"," 0.1286551475"," 0.272331326"
"17","1","Pmp22"," 9"," 0.262060116"," 0.546087104"," 0.21531030"," 0.38051082"," 0.2840269876"," 0.165200516"
"18","1","Rgs1"," 9"," 0.159935950"," 0.470084753"," 0.19280923"," 0.32340443"," 0.3101488039"," 0.130595200"
"19","1","Dazap2"," 9"," 0.235345109"," 0.445712801"," 0.28946519"," 0.43892282"," 0.2103676916"," 0.149457628"
"20","1","Id2"," 9"," 0.215880784"," 0.431706476"," 0.28554655"," 0.44497474"," 0.2158256921"," 0.159428189"
"21","1","Arf1"," 9"," 0.220187840"," 0.429468618"," 0.29910616"," 0.40867845"," 0.2092807783"," 0.109572288"
"22","1","Lamtor3"," 9"," 0.237843834"," 0.396293527"," 0.29021844"," 0.43978827"," 0.1584496928"," 0.149569833"
"23","1","Nubp1"," 9"," 0.242449502"," 0.354666440"," 0.29875287"," 0.45635937"," 0.1122169380"," 0.157606498"
"24","1","Ly6i"," 9"," 0.248484331"," 0.389709322"," 0.23310419"," 0.37439917"," 0.1412249910"," 0.141294972"
"25","1","Ssr4"," 9"," 0.178014476"," 0.356851040"," 0.30831008"," 0.39079169"," 0.1788365639"," 0.082481602"
"26","1","Arhgdib"," 9"," 0.179226121"," 0.383383006"," 0.25900384"," 0.31922330"," 0.2041568846"," 0.060219467"
"27","1","Myl12b"," 9"," 0.220395945"," 0.354454009"," 0.27421246"," 0.33258239"," 0.1340580638"," 0.058369938"
"28","1","Atp5c1"," 9"," 0.219815324"," 0.395450238"," 0.28428984"," 0.28533136"," 0.1756349140"," 0.001041515"
"29","1","Prdx6"," 9"," 0.186735335"," 0.348177344"," 0.20225252"," 0.26440728"," 0.1614420091"," 0.062154759"
"30","1","Tagln2"," 9"," 0.188193855"," 0.328289657"," 0.20713251"," 0.26867754"," 0.1400958015"," 0.061545030"
"31","1","Bcl2a1a"," 9"," 0.144808642"," 0.338471700"," 0.09506020"," 0.16438940"," 0.1936630574"," 0.069329206"
"32","1","1810058I24Rik"," 9"," 0.184776479"," 0.311971831"," 0.21954536"," 0.41702361"," 0.1271953522"," 0.197478255"
"33","1","Ube2d3"," 9"," 0.130014633"," 0.294997509"," 0.18106248"," 0.35616783"," 0.1649828760"," 0.175105357"
"34","1","Ly6e"," 9"," 0.094504354"," 0.265923253"," 0.18535443"," 0.36363239"," 0.1714188986"," 0.178277960"
"35","1","Rpl28"," 9"," 0.184505586"," 0.243136517"," 0.22074775"," 0.40586379"," 0.0586309308"," 0.185116040"
"36","1","Dynlrb1"," 9"," 0.187741488"," 0.222325815"," 0.19547782"," 0.33178599"," 0.0345843268"," 0.136308171"
"37","1","Slc31a2"," 9"," 0.079273597"," 0.164506606"," 0.11990741"," 0.40653061"," 0.0852330089"," 0.286623201"
"38","1","Fkbp1a"," 9"," 0.058088863"," 0.162213921"," 0.01775724"," 0.34341049"," 0.1041250582"," 0.325653247"
"39","1","Ifitm1","10"," 0.499397436"," 0.646890940"," 0.63221827"," 0.74026452"," 0.1474935039"," 0.108046244"
"40","1","Ccl17","10"," 0.516051390"," 0.507704385"," 0.57535916"," 0.75758256","-0.0083470054"," 0.182223407"
"41","1","H2-DMb2","10"," 0.339798656"," 0.590489353"," 0.66099708"," 0.63728169"," 0.2506906968","-0.023715391"
"42","1","2410002F23Rik","10"," 0.300652808"," 0.303199541"," 0.73615800"," 0.83471847"," 0.0025467329"," 0.098560471"
"43","1","Socs2","10"," 0.341096496"," 0.390460664"," 0.50437747"," 0.63282135"," 0.0493641677"," 0.128443887"
"44","1","Csta2","10"," 0.273089053"," 0.242302774"," 0.59299721"," 0.57257248","-0.0307862785","-0.020424724"
"45","1","Car4","10"," 0.278671506"," 0.530147915"," 0.48369831"," 0.56085757"," 0.2514764092"," 0.077159260"
