"","sgCtu1-g1-R1-input","sgCtu1-g1-R2-input","sgCtu1-g1-R1-polysome","sgCtu1-g1-R2-polysome","sgCtu1-g2-R1-input","sgCtu1-g2-R2-input","sgCtu1-g2-R1-polysome","sgCtu1-g2-R2-polysome","sgCtu2-g1-R1-input","sgCtu2-g1-R2-input","sgCtu2-g1-R1-polysome","sgCtu2-g2-R1-input","sgCtu2-g2-R2-input","sgCtu2-g2-R1-polysome","sgCtu2-g2-R2-polysome","sgScr-g1-R1-input","sgScr-g1-R2-input","sgScr-g1-R1-polysome","sgScr-g1-R2-polysome","sgScr-g2-R1-input","sgScr-g2-R2-input","sgScr-g2-R1-polysome","sgScr-g2-R2-polysome"
"Mrpl15",69.0605311556258,42.0381678946229,114.309987264046,115.30947265166,92.839598204496,83.6981501599146,97.5383599054376,129.336163650667,79.8607384325574,91.5867185910409,106.947276394261,92.2780759689559,72.8076638790912,115.073006255371,116.598990702676,78.4409394139205,85.3572220539335,97.3932237359699,98.526802198629,75.0411742703332,85.513517881552,115.452748594565,119.370324855322
"Lypla1",46.8100256769136,32.8423186676741,52.9874420130213,60.5374731421217,53.9116021219146,56.1289369908698,54.1481336239746,59.4551863405026,53.3713043087361,61.7034388090698,54.8347853512395,0,61.9032902566466,49.8151542231042,61.1831263042,43.8737457738877,40.7817838702126,29.9671457649138,49.0997353149314,40.8312271765048,45.6219025811373,41.2331244980589,48.7103088830279
"Tcea1",58.7749201324475,53.2045562416321,160.153055073064,180.826218476467,67.4262271769995,62.7323413427368,103.634507399527,147.369964246838,58.2767550724067,60.8733477040151,115.891957692691,0,61.2322518798808,110.589642375291,132.396273314007,69.7041761862199,70.5619702312516,133.781900736222,164.320447520637,71.3626853355129,60.6088077768732,116.827186077834,156.955439734201
"Atp6v1h",95.5092452152272,73.56679381559,71.4437420400288,68.3994826410986,108.263898539104,108.626001588213,68.8506069920736,66.7814178326972,104.780428312004,110.402116972282,75.4464422563154,46.139037984478,105.185265558042,85.6820652637392,69.4578933863254,79.9603764969988,85.9262702009597,72.777354000505,65.1389821844757,101.894143494521,99.398444754072,72.8451866132375,65.849121267797
"Rb1cc1",19.7315803301788,18.3916984538975,29.768225850012,26.7308322965213,21.3002242716011,16.5085108796676,22.5916054192742,27.8960352972026,17.6596227492142,23.242550941533,21.3894552788523,46.139037984478,20.9699492739318,33.3761533294798,19.3077898582926,22.9814858815602,24.4690703221276,26.7563801472445,28.4778464826602,21.8870091621805,19.6152141532426,32.9864995984472,24.0544735224829
"St18",13.6441778878896,20.362237573958,16.3725242175066,20.703291680639,14.249115547209,14.8576597917008,17.2126517480184,12.3982379098678,13.7352621382777,15.6333824785311,13.2225723541996,0,13.5885271295078,14.4463947247002,13.2897774349287,15.5742301015532,14.415886391331,12.8430624706774,15.3845837320118,13.978257952317,15.4276965250223,15.1188123159549,15.6354077896139
"Pcmtd1",16.3730134654675,13.7937738404231,22.0284871290089,14.937818048056,13.2208288582352,12.8766384861407,20.4400239507719,19.7244694020625,11.3806457717158,10.9295328832209,16.3337658493054,0,14.4273251004651,13.9482431824692,22.0660455523344,14.2447226538596,12.7087419502523,14.9835728824569,19.9672256947388,12.3229379316479,14.9869051957359,16.4932497992236,21.0476643321726
"Gm26901",10.0757005941339,11.8232347203627,6.54900968700264,4.71720569938611,7.19800682281694,4.7874681551036,12.5508918995968,7.32623149219463,13.1466080466372,5.81063773538326,8.16688292465269,0,11.7431715934018,3.48706079561729,14.2927795054893,11.7756373938573,6.82857776431468,11.7728072647876,12.1112680443497,4.23026227504329,6.17107861000891,5.49774993307452,7.21634205674488
"Sntg1",9.02614844891158,11.8232347203627,11.0142435645044,10.4826793319691,13.2208288582352,11.5559576157673,15.4196671909332,14.0889067157589,9.8109015273412,10.5144873306935,9.72247967220559,46.139037984478,9.8978160572958,13.4500916402381,12.286775364368,10.4461299461637,13.0881073816031,8.56204164711824,14.075257456947,15.6335779729861,10.3585962382292,6.87218741634316,8.41906573286902
"Rrs1",17.2126551816453,18.3916984538975,16.0748419590065,15.7240189979537,18.8029565983789,16.5085108796676,15.0610702795161,15.4977973873348,21.7802013906975,17.5702617236589,12.8336731673114,0,18.9568341436343,18.4316070625486,19.809290893573,17.4735264554012,16.6920789794359,17.1240832942365,18.6578994196739,17.6567468871372,17.4112575068108,20.6165622490295,17.1388123847691
