"","sgCtu1-g1-R1-input","sgCtu1-g1-R1-polysome","sgCtu1-g1-R2-polysome","sgCtu2-g1-R1-input","sgCtu2-g1-R2-input","sgCtu2-g1-R1-polysome","sgScr-g1-R1-input","sgScr-g1-R2-input","sgScr-g1-R1-polysome","sgScr-g1-R2-polysome"
"Mrpl15",66.9757082577999,110.599757330787,113.727034874305,79.4672608638851,89.2206680366975,104.103795530146,76.7075724773959,83.4995059757173,94.6080344055803,95.1559798311656
"Lypla1",45.3969086367459,51.2675958460417,59.7066933090101,53.1083414127193,60.1093926652071,53.3768551627292,42.9042354534587,39.8942084106205,29.1101644324862,47.4199235039031
"Tcea1",57.0006027725957,154.954868343654,178.344668325615,57.9896227925648,59.3007461271101,112.810658429031,68.1638719109063,69.0262582732596,129.956091216456,158.698677326396
"Atp6v1h",92.625979505468,69.1248483317416,67.4608093231673,104.2641702735,107.549989566895,73.4404957558119,78.193433445481,84.0561693488887,70.6961136217523,62.9104318485114
"Rb1cc1",19.1359166450857,28.8020201382257,26.3639944481343,17.5726129674439,22.6421030667148,20.8207591060291,22.4736471422879,23.9365250463723,25.9912182432913,27.5035556322638
"St18",13.2322827864954,15.8411110760241,20.4191721706138,13.6675878635675,15.229509800826,12.8710147200907,15.2300749228728,14.10213878701,12.4757847567798,14.8582426978896
"Pcmtd1",15.8787393437945,21.313494902287,14.7328204268986,11.3245728012416,10.6471794182766,15.8994887718768,13.9299465757983,12.4321486674957,14.5550822162431,19.2841022249206
"Gm26901",9.77153190387355,6.33644443040965,4.65246960849429,13.081834097986,5.66052576667869,7.9497443859384,11.5154225026599,6.67996047805738,11.4361360270482,11.6969144642961
"Sntg1",8.75366399722005,10.6567474511435,10.3388213522095,9.76256275969105,10.2428561492281,9.46398141183143,10.2152941555854,12.8032575829433,8.31718983785321,13.5937114044522
"Rrs1",16.6930336691173,15.5530908746419,15.5082320283143,21.6728893265141,17.1163517230522,12.4924554636175,17.0874011329792,16.3287922796958,16.6343796757064,18.0195709314832
"Adhfe1",15.0644450184717,14.9770504718773,13.1819972240672,14.6438441395366,14.1513144166967,12.1138962071442,20.9877861742027,14.4732477024577,17.6740284054381,17.0711724614051
"Vcpip1",80.8187117882875,76.9013937690625,77.5411601415716,73.023969442489,65.7699184318858,67.0049883957665,104.381733007982,89.6228030806032,110.202765351555,85.0397294836662
"1700034P13Rik",5.70006027725957,3.16822221520482,3.10164640566286,7.61479895255902,8.35601422700188,1.89279628236629,10.2152941555854,10.3910496325337,7.27754110812156,2.21292976351548
"Sgk3",23.6145354343611,22.1775555064338,22.745406974861,22.8443968576771,22.7768774897309,20.4421998495559,26.5597648045221,27.8331686585724,24.9515695135596,19.9163678716393
"Snhg6",23.6145354343611,6.33644443040965,5.68635174371525,31.2402008310114,24.6637194119572,3.40703330825931,25.6311016994688,25.7920696236104,6.23789237838991,2.84519541023419
