"","sgCtu1-g2-R1-input","sgCtu1-g2-R2-input","sgCtu1-g2-R1-polysome","sgCtu1-g2-R2-polysome","sgCtu2-g2-R2-input","sgCtu2-g2-R1-polysome","sgCtu2-g2-R2-polysome","sgScr-g2-R1-input","sgScr-g2-R2-input","sgScr-g2-R1-polysome","sgScr-g2-R2-polysome"
"Mrpl15",89.9696426587115,81.4889235219644,94.9827091758582,124.234782850868,70.4899055298555,109.339448176833,112.433469437018,72.8572491301795,81.943431939658,109.388577007497,113.428364887435
"Lypla1",52.2450298350429,54.6474043342562,52.7293716380683,57.1101071493095,59.9326616140937,47.3330944488456,58.9973474035104,39.6429149678918,43.717243328632,39.0673489312488,46.2856300044444
"Tcea1",65.3418765511845,61.0765107265217,100.919128499349,141.557279806109,59.2829850654314,105.079469676437,127.666391102678,69.2858153492884,58.0784633592937,110.690821971872,149.142585569877
"Atp6v1h",104.917130758656,105.758800152766,67.0466182417823,64.1473715373761,101.83679900281,81.4129224520144,66.9764968474278,98.928715730685,95.2486799092416,69.0189831118729,62.5713146356379
"Rb1cc1",20.6417692808753,16.0727659806636,21.9996716105848,26.7957374776381,20.3023921456957,31.7131732807265,18.6180153691406,21.2500309963024,18.7963026871896,31.2538791449991,22.8571012367627
"Vcpip1",82.8517911825476,78.9172809650583,89.395490989043,78.2219003135093,62.6937869459083,65.7930012838954,66.009327217862,105.357296536289,72.650877802171,110.690821971872,73.7141514885597
"Sgk3",24.4854090780038,24.4306042906087,22.6980738839367,17.5931609701665,23.550774889007,22.7198853354459,25.8717875908836,21.6071743743915,28.5112456491078,11.7202046793746,25.714238891358
"Snhg6",26.6207645208529,26.6807915279016,3.49201136675949,4.60128825373584,20.6272304200268,4.2599785003961,6.0448101847859,21.0714593072578,24.9209406414424,2.60448992874992,3.99999271643347
"Cops5",67.9043030826034,69.75580435608,59.0149920982354,63.3353794925992,70.652324667021,61.0596918390108,60.9316866626419,59.1072290737486,58.0784633592937,41.6718388599988,60.5713182774211
"Arfgef1",26.4784074913296,28.4487957857746,23.0472750206126,23.5477692985305,29.8851212384641,29.3465185582843,24.1792407391436,32.6786190951541,32.5239394812045,24.7426543231243,28.8570903114129
"Tram1",54.0956712188455,56.7368639117425,40.8565329910861,52.2381548806481,54.8976683619612,49.6997491712879,49.0838587004615,53.7500784024119,61.0351851303123,63.8100032543731,55.7141842646091
"Lactb2",13.6662748342347,16.8764042796968,14.6664477403899,20.8411291492741,17.3788476767155,15.619921168119,19.1016001839234,16.4285953920993,16.6843585650335,23.4404093587493,14.2856882729767
"Rpl7",800.331219979867,839.159111850446,768.242500687088,806.308100463475,777.175571337231,741.236259068922,744.962407173014,769.465408092999,712.56994681548,609.450643327482,682.570185682826
"Ube2w",71.0361577321156,72.3274469129862,91.4906978090987,87.424476820981,60.582338162756,68.6329869508261,93.0900768457028,56.7857971161693,61.2463795425279,46.8808187174986,65.7141660556927
"Eloc",314.609035246444,307.472013210095,432.660208341501,472.038042030312,308.433941477409,430.731159484495,525.41490126159,306.429018400461,294.193816216349,420.625123493112,463.427727575363
"Tmem70",16.94048651327,18.0014978983432,22.3488727472607,17.8638249850921,15.2673988935632,14.6732592791421,20.5523546282721,18.2143122825449,15.4171920917398,16.9291845368745,17.4285396930315
"Ly96",42.9918229160299,44.2001064468249,43.6501420844937,54.4034670000532,37.3564015480801,35.9731517811226,54.886876477856,43.9286355049612,38.8597718476729,46.8808187174986,41.1427822261728
"Gm28376",21.9229825465848,22.1804170533158,14.6664477403899,18.4051530149434,18.8406199112056,13.7265973901652,15.9582988878348,23.9286063319707,18.585108274974,11.7202046793746,15.1428295693553
